chunk,n,seconds,skipped
chunk_00008,500,74.30877245101146,False
chunk_00017,500,74.13458766098483,False
chunk_00007,500,73.45705476598232,False
chunk_00029,500,73.45218696299708,False
chunk_00005,500,73.405203487986,False
chunk_00009,500,73.31324745199527,False
chunk_00004,500,73.20143976100371,False
chunk_00006,500,73.09744490700541,False
chunk_00000,500,73.06620746501721,False
chunk_00016,500,73.02307628100971,False
chunk_00014,500,72.99959946700255,False
chunk_00012,500,72.99041339600808,False
chunk_00026,500,72.97398065999732,False
chunk_00028,500,72.92559921901557,False
chunk_00027,500,72.88438609300647,False
chunk_00001,500,72.50283257098636,False
chunk_00002,500,71.96892621699953,False
chunk_00003,500,71.85839308798313,False
chunk_00020,500,71.32368149299873,False
chunk_00011,500,71.13138887099922,False
chunk_00023,500,71.05899422502262,False
chunk_00024,500,71.03503463999368,False
chunk_00025,500,70.9930717899988,False
chunk_00015,500,70.98621919201105,False
chunk_00022,500,70.97542140999576,False
chunk_00013,500,70.96809801299241,False
chunk_00019,500,70.96382217499195,False
chunk_00018,500,70.96193551301258,False
chunk_00021,500,70.94982825202169,False
chunk_00010,500,70.89940234602545,False
chunk_00030,418,54.21057538801688,False
