feature,domain,std,abs_max
TIME:mean,time,1.469104e-17,5.2909066e-17
TIME:std,time,0.0,1.0
TIME:var,time,0.0,1.0
TIME:skew,time,0.56060475,8.885577
TIME:kurt,time,4.1135535,143.48593
TIME:min,time,0.9061133,16.927422
TIME:max,time,1.8595346,18.313099
TIME:p2p,time,2.1742933,23.55012
TIME:median,time,0.066230364,0.26565632
TIME:mad,time,0.1373723,0.95455736
TIME:iqr,time,0.27672806,1.9505478
TIME:p1,time,0.3891173,4.5602164
TIME:p5,time,0.15174569,2.126448
TIME:p10,time,0.13569936,1.4920721
TIME:p25,time,0.1425325,0.95372605
TIME:p75,time,0.14320561,0.9968217
TIME:p90,time,0.17974849,1.651521
TIME:p95,time,0.14402543,2.186876
TIME:p99,time,0.457393,4.670716
TIME:max_abs,time,1.8156903,18.313099
TIME:mean_abs,time,0.07206532,0.9017454
TIME:rms_to_mad,time,0.8238342,14.723134
TIME:trimmed_mean10,time,0.035020664,0.1435325
TIME:sem,time,9.0530443e-07,0.011048543
TIME:range_over_std,time,2.1742933,23.55012
TIME:zero_frac,time,0.0,0.0
TIME:rms,time,0.0,1.0
TIME:energy,time,0.0,8192.0
TIME:log_energy,time,0.0004580167,3.91339
TIME:mean_power,time,0.0,1.0
TIME:crest_factor,time,1.8156903,18.313099
TIME:impulse_factor,time,3.4954557,42.075832
TIME:margin_factor,time,5.2657895,60.015537
TIME:shape_factor,time,0.15712763,2.554151
TIME:clearance_factor,time,3.4954557,42.075832
TIME:energy_entropy,time,0.42324546,3.321628
TIME:energy_centroid,time,0.82811946,8.519345
TIME:energy_spread,time,0.5563177,4.2596765
TIME:energy_gini,time,0.20209575,0.8414521
TIME:seg_energy_0,time,0.064751305,0.84342957
TIME:seg_energy_1,time,0.05612458,0.6410367
TIME:seg_energy_2,time,0.05665847,0.6491164
TIME:seg_energy_3,time,0.08722771,0.86346203
TIME:seg_energy_4,time,0.08303841,0.7745201
TIME:seg_energy_5,time,0.062016726,0.8557377
TIME:seg_energy_6,time,0.07379252,0.8859533
TIME:seg_energy_7,time,0.07051701,0.66770035
TIME:seg_energy_8,time,0.0598844,0.85467905
TIME:seg_energy_9,time,0.061114613,0.7273194
TIME:zcr,time,366.22934,1814.0
TIME:zcr_rate,time,223.55537,1107.3129
TIME:n_peaks,time,120.89773,573.0
TIME:n_valleys,time,117.609886,567.0
TIME:peak_rate,time,147.58037,699.4629
TIME:mean_peak_amp,time,0.2624169,3.3846147
TIME:std_peak_amp,time,0.30712235,2.5737703
TIME:max_peak_amp,time,1.8595346,18.313099
TIME:mean_peak_interval,time,11.715114,173.58974
TIME:std_peak_interval,time,70.06063,919.8243
TIME:activity_factor,time,0.035997596,0.9677973
TIME:above_1std_frac,time,0.050814874,0.47851562
TIME:above_2std_frac,time,0.010899588,0.107177734
TIME:above_3std_frac,time,0.007093089,0.04345703
TIME:longest_run_above,time,31.312021,226.0
TIME:autocorr_lag1,time,0.05609922,0.99813724
TIME:autocorr_lag10,time,0.20950897,0.9401643
TIME:autocorr_first_zero,time,19.30446,115.0
TIME:autocorr_peak,time,0.05609922,0.99813724
TIME:d1_mean_abs,time,0.11988677,0.5390525
TIME:d1_std,time,0.13309042,0.69819945
TIME:d1_max_abs,time,0.7968213,9.32475
TIME:d2_mean_abs,time,0.11608874,0.48823062
TIME:d2_std,time,0.13147344,0.6198164
TIME:ssc_rate,time,0.030334324,0.31807083
TIME:waveform_length,time,981.9923,4415.379
TIME:hjorth_activity,time,0.0,1.0
TIME:hjorth_mobility,time,0.13309042,0.69819945
TIME:hjorth_complexity,time,0.8209642,11.319703
TIME:katz_fd,time,0.5867044,4.875376
TIME:higuchi_fd,time,0.120886244,0.94138604
TIME:tkeo_mean,time,0.1775272,0.7976345
TIME:tkeo_std,time,0.2542897,2.924383
TIME:env_mean,time,0.11229419,1.394736
TIME:env_std,time,0.14146914,1.2689103
TIME:env_skew,time,0.6764965,9.252019
TIME:env_kurt,time,4.0157886,106.30766
TIME:env_entropy,time,0.18691008,12.97907
TIME:env_crest,time,2.304624,29.263262
TIME:burst_count,time,92.733215,420.0
TIME:burst_rate,time,113.20045,512.6953
TIME:burst_mean_dur,time,6.1465034,146.90909
TIME:burst_std_dur,time,13.057593,193.98854
TIME:burst_mean_gap,time,26.335306,1059.7142
TIME:burst_occupancy,time,0.017374652,0.24597168
TIME:hist_b0,time,0.0049824025,0.11999512
TIME:hist_b1,time,0.035138678,0.3984375
TIME:hist_b2,time,0.069494136,0.7437744
TIME:hist_b3,time,0.09032725,0.80236816
TIME:hist_b4,time,0.1073487,0.7949219
TIME:hist_b5,time,0.10714331,0.78564453
TIME:hist_b6,time,0.10003359,0.78149414
TIME:hist_b7,time,0.09406012,0.8084717
TIME:hist_b8,time,0.079104826,0.7463379
TIME:hist_b9,time,0.060361978,0.72058105
TIME:hist_b10,time,0.043166302,0.81970215
TIME:hist_b11,time,0.026561014,0.2998047
TIME:hist_b12,time,0.016060838,0.88757324
TIME:hist_b13,time,0.0068206224,0.14440918
TIME:hist_b14,time,0.0027188198,0.07836914
TIME:hist_b15,time,0.0009433557,0.026245117
TIME:hist_entropy,time,0.40822142,3.814886
TIME:hist_contrast,time,1.5221505,17.387598
FREQ:mag_mean,freq,6.965589,54.351757
FREQ:mag_std,freq,3.557292,89.85286
FREQ:mag_min,freq,6.813363e-14,3.8369308e-13
FREQ:mag_max,freq,620.48456,5444.458
FREQ:mag_range,freq,620.48456,5444.458
FREQ:pow_mean,freq,1.4683743,8190.001
FREQ:pow_std,freq,39603.0,463499.7
FREQ:pow_max,freq,2.535976e+06,2.9642124e+07
FREQ:spec_centroid,freq,151.18277,1084.6362
FREQ:spec_spread,freq,44.316376,792.43353
FREQ:spec_rolloff85,freq,196.5999,1795.6543
FREQ:spec_rolloff,freq,129.62408,2189.9414
FREQ:spec_flatness,freq,0.040504225,0.26696718
FREQ:spec_skew,freq,4.4584117,54.62774
FREQ:spec_kurt,freq,206.32002,3267.577
FREQ:spec_slope,freq,0.0038489087,0.039600566
FREQ:peak1_freq,freq,146.56009,1849.3652
FREQ:peak1_amp,freq,620.48456,5444.458
FREQ:peak2_freq,freq,188.29811,1705.3223
FREQ:peak2_amp,freq,291.8753,3722.5493
FREQ:peak_count,freq,75.15419,676.0
FREQ:peak_ratio,freq,0.16338073,0.9999941
FREQ:bandP_0,freq,3.82421e+06,2.8270172e+07
FREQ:bandP_1,freq,2.8166925e+06,2.881278e+07
FREQ:bandP_2,freq,3.3790102e+06,3.2258504e+07
FREQ:bandP_3,freq,1.9262012e+06,1.8797512e+07
FREQ:bandP_4,freq,2.1940355e+06,1.817682e+07
FREQ:bandP_5,freq,3.7773948e+06,2.249643e+07
FREQ:bandP_6,freq,1.334764e+06,5.4891205e+06
FREQ:bandP_rel_0,freq,0.11397034,0.8425168
FREQ:bandP_rel_1,freq,0.08394398,0.85868776
FREQ:bandP_rel_2,freq,0.10070235,0.96137834
FREQ:bandP_rel_3,freq,0.057405267,0.5602095
FREQ:bandP_rel_4,freq,0.06538735,0.54171145
FREQ:bandP_rel_5,freq,0.112575136,0.67044586
FREQ:bandP_rel_6,freq,0.039779067,0.16358852
FREQ:ratio_low_mid,freq,1.56179,84.58341
FREQ:ratio_mid_high,freq,2.9459767,112.72893
FREQ:ratio_low_high,freq,5.8598843,225.92221
FREQ:ratio_high_tail,freq,0.039779067,0.16358852
FREQ:frac_low,freq,0.1743975,0.97588515
FREQ:frac_mid,freq,0.11728858,0.9730378
FREQ:frac_high,freq,0.19443433,0.80768555
FREQ:spec_entropy_shannon,freq,1.0527589,10.172004
FREQ:spec_entropy_renyi,freq,1.505532,9.746791
FREQ:spec_decrease,freq,0.0021858914,0.022160584
FREQ:psd_max,freq,0.030956725,0.36184233
FREQ:psd_min,freq,0.0,1.7971237e-33
FREQ:psd_range,freq,0.030956725,0.36184233
FREQ:hist_b0,freq,4.3761045e-08,0.00024408103
FREQ:hist_b1,freq,0.0,0.0
FREQ:hist_b2,freq,0.0,0.0
FREQ:hist_b3,freq,0.0,0.0
FREQ:hist_b4,freq,0.0,0.0
FREQ:hist_b5,freq,0.0,0.0
FREQ:hist_b6,freq,0.0,0.0
FREQ:hist_b7,freq,0.0,0.0
FREQ:hist_b8,freq,0.0,0.0
FREQ:hist_b9,freq,0.0,0.0
FREQ:hist_b10,freq,0.0,0.0
FREQ:hist_b11,freq,0.0,0.0
FREQ:hist_b12,freq,0.0,0.0
FREQ:hist_b13,freq,0.0,0.0
FREQ:hist_b14,freq,1.965643e-06,0.00024408103
