feature,domain,std,abs_max
TIME:mean,time,1.4264521e-17,3.7730236e-17
TIME:std,time,0.0,1.0
TIME:var,time,0.0,1.0
TIME:skew,time,0.57548547,3.3903856
TIME:kurt,time,3.9238334,33.58287
TIME:min,time,1.0009406,10.257526
TIME:max,time,1.891553,15.44594
TIME:p2p,time,2.2643983,20.500277
TIME:median,time,0.06856158,0.25545254
TIME:mad,time,0.13918865,0.82812744
TIME:iqr,time,0.28096464,1.774388
TIME:p1,time,0.41193894,3.667513
TIME:p5,time,0.15542577,2.0084152
TIME:p10,time,0.13715857,1.4128525
TIME:p25,time,0.14547633,0.88501114
TIME:p75,time,0.1447743,0.8893768
TIME:p90,time,0.18399885,1.420605
TIME:p95,time,0.1465839,2.0420635
TIME:p99,time,0.46701577,4.3890285
TIME:max_abs,time,1.8651141,15.44594
TIME:mean_abs,time,0.07319305,0.8813232
TIME:cv,time,8245573.0,1000000000000.0
TIME:trimmed_mean10,time,0.035954524,0.13023098
TIME:sem,time,1.1175871e-08,0.011048543
TIME:range_over_std,time,2.2643983,20.500277
TIME:zero_frac,time,0.0,0.0
TIME:rms,time,0.0,1.0
TIME:energy,time,0.0,8192.0
TIME:log_energy,time,1.5735626e-05,3.91339
TIME:mean_power,time,0.0,1.0
TIME:crest_factor,time,1.8651141,15.44594
TIME:impulse_factor,time,3.5772576,28.25698
TIME:margin_factor,time,5.3903446,41.550457
TIME:shape_factor,time,0.15879802,1.9802272
TIME:clearance_factor,time,3.5772576,28.25698
TIME:energy_entropy,time,0.43216267,3.3212783
TIME:energy_centroid,time,0.84441125,7.885024
TIME:energy_spread,time,0.57801914,3.858082
TIME:energy_gini,time,0.2040328,0.7594734
TIME:seg_energy_0,time,0.059824407,0.44857165
TIME:seg_energy_1,time,0.053790357,0.30301565
TIME:seg_energy_2,time,0.062062178,0.5059699
TIME:seg_energy_3,time,0.09297503,0.6421099
TIME:seg_energy_4,time,0.084785424,0.5252559
TIME:seg_energy_5,time,0.063310474,0.5883961
TIME:seg_energy_6,time,0.07370414,0.44400558
TIME:seg_energy_7,time,0.06770439,0.47175345
TIME:seg_energy_8,time,0.061194822,0.45669085
TIME:seg_energy_9,time,0.06758057,0.50440305
TIME:zcr,time,355.67792,1754.0
TIME:zcr_rate,time,217.11507,1070.6874
TIME:n_peaks,time,117.09019,531.0
TIME:n_valleys,time,114.23938,545.0
TIME:peak_rate,time,142.9324,648.19336
TIME:mean_peak_amp,time,0.26898074,2.8212533
TIME:std_peak_amp,time,0.32068425,2.3693612
TIME:max_peak_amp,time,1.891553,15.44594
TIME:mean_peak_interval,time,11.294672,84.88636
TIME:std_peak_interval,time,61.46406,487.83932
TIME:activity_factor,time,0.037375882,0.93322796
TIME:above_1std_frac,time,0.051429484,0.40161133
TIME:above_2std_frac,time,0.011040222,0.09887695
TIME:above_3std_frac,time,0.0071846917,0.03515625
TIME:longest_run_above,time,29.275978,144.0
TIME:autocorr_lag1,time,0.053649858,0.9942583
TIME:autocorr_lag10,time,0.19991006,0.7861683
TIME:autocorr_first_zero,time,18.627045,98.0
TIME:autocorr_peak,time,0.053649858,0.9942583
TIME:d1_mean_abs,time,0.11519254,0.52730775
TIME:d1_std,time,0.12720741,0.6626829
TIME:d1_max_abs,time,0.8644204,6.157777
TIME:d2_mean_abs,time,0.111493096,0.47463933
TIME:d2_std,time,0.12563449,0.59737915
TIME:ssc_rate,time,0.03035388,0.31807083
TIME:waveform_length,time,943.5423,4319.1777
TIME:hjorth_activity,time,0.0,1.0
TIME:hjorth_mobility,time,0.12720741,0.6626829
TIME:hjorth_complexity,time,0.723744,5.783965
TIME:katz_fd,time,0.5738839,4.6227865
TIME:higuchi_fd,time,0.11557471,0.7124039
TIME:tkeo_mean,time,0.16987334,0.69993955
TIME:tkeo_std,time,0.2679167,1.9494933
TIME:env_mean,time,0.113648705,1.3661149
TIME:env_std,time,0.14290193,1.176678
TIME:env_skew,time,0.6939069,4.8136506
TIME:env_kurt,time,4.153379,31.566746
TIME:env_entropy,time,0.18911475,12.948095
TIME:env_crest,time,2.341614,18.18656
TIME:burst_count,time,88.86782,404.0
TIME:burst_rate,time,108.4812,493.16406
TIME:burst_mean_dur,time,5.0173087,48.0
TIME:burst_std_dur,time,11.311075,114.626045
TIME:burst_mean_gap,time,20.897228,173.78947
TIME:burst_occupancy,time,0.017848754,0.2142334
TIME:hist_b0,time,0.004857254,0.05505371
TIME:hist_b1,time,0.038356908,0.32434082
TIME:hist_b2,time,0.07066113,0.3873291
TIME:hist_b3,time,0.09051935,0.6602783
TIME:hist_b4,time,0.10521706,0.6300049
TIME:hist_b5,time,0.11980527,0.7270508
TIME:hist_b6,time,0.10269165,0.6485596
TIME:hist_b7,time,0.085938044,0.47192383
TIME:hist_b8,time,0.08704124,0.59973145
TIME:hist_b9,time,0.058660556,0.24853516
TIME:hist_b10,time,0.046319168,0.41711426
TIME:hist_b11,time,0.029561361,0.27868652
TIME:hist_b12,time,0.014151588,0.12121582
TIME:hist_b13,time,0.006131764,0.048217773
TIME:hist_b14,time,0.0020999599,0.01574707
TIME:hist_b15,time,0.00068515097,0.004760742
TIME:hist_entropy,time,0.41439837,3.7478228
TIME:hist_contrast,time,1.5680989,11.845318
FREQ:mag_mean,freq,6.7177105,53.720715
FREQ:mag_std,freq,3.433805,89.02149
FREQ:mag_min,freq,6.572476e-14,3.1441516e-13
FREQ:mag_max,freq,628.93225,4897.205
FREQ:mag_range,freq,628.93225,4897.205
FREQ:pow_mean,freq,0.0,8190.0005
FREQ:pow_std,freq,40750.816,376633.97
FREQ:pow_max,freq,2648066.2,23982616.0
FREQ:spec_centroid,freq,143.39119,1060.1754
FREQ:spec_spread,freq,42.53771,743.0189
FREQ:spec_rolloff85,freq,182.52939,1771.2402
FREQ:spec_rolloff,freq,125.94749,2152.0996
FREQ:spec_flatness,freq,0.038950093,0.22358994
FREQ:spec_skew,freq,4.569181,42.78739
FREQ:spec_kurt,freq,218.14961,2274.5557
FREQ:spec_slope,freq,0.003753289,0.0394131
FREQ:peak1_freq,freq,148.62186,1450.1953
FREQ:peak1_amp,freq,628.93225,4897.205
FREQ:peak2_freq,freq,155.3917,1339.1113
FREQ:peak2_amp,freq,274.40665,2509.9224
FREQ:peak_count,freq,73.575226,646.0
FREQ:peak_ratio,freq,0.16373219,0.99889284
FREQ:bandP_0,freq,3618041.2,23947010.0
FREQ:bandP_1,freq,2848741.8,18442286.0
FREQ:bandP_2,freq,3304950.0,30549660.0
FREQ:bandP_3,freq,1863817.0,11631398.0
FREQ:bandP_4,freq,2197435.5,13957063.0
FREQ:bandP_5,freq,3626207.5,14354993.0
FREQ:bandP_6,freq,1281677.6,4982924.0
FREQ:bandP_rel_0,freq,0.10782603,0.7136765
FREQ:bandP_rel_1,freq,0.08489912,0.54962295
FREQ:bandP_rel_2,freq,0.098495185,0.9104508
FREQ:bandP_rel_3,freq,0.055546075,0.34664267
FREQ:bandP_rel_4,freq,0.06548868,0.4159529
FREQ:bandP_rel_5,freq,0.108069405,0.42781213
FREQ:bandP_rel_6,freq,0.03819697,0.14850271
FREQ:ratio_low_mid,freq,1.4699587,17.381687
FREQ:ratio_mid_high,freq,2.2608924,24.12016
FREQ:ratio_low_high,freq,3.036278,29.369804
FREQ:ratio_high_tail,freq,0.03819697,0.14850271
FREQ:frac_low,freq,0.16449729,0.81136113
FREQ:frac_mid,freq,0.11696933,0.92533714
FREQ:frac_high,freq,0.18860675,0.78616357
FREQ:spec_entropy_shannon,freq,1.0406278,10.131669
FREQ:spec_entropy_renyi,freq,1.473532,9.704718
FREQ:spec_decrease,freq,0.0019754714,0.016577143
FREQ:psd_max,freq,0.032325022,0.29275656
FREQ:psd_min,freq,0.0,1.2067492e-33
FREQ:psd_range,freq,0.032325022,0.29275656
FREQ:hist_b0,freq,0.0,0.00024408103
FREQ:hist_b1,freq,0.0,0.0
FREQ:hist_b2,freq,0.0,0.0
