feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:DWT_L4_entropy,8,0.6756967306137085,272.0,0.31592677624227333,11.0,0.806359689672125,2.0,0.21922969357062655,96.0,354.0,47.0,-3.0,52.5,-1.0,382.0,0.003857197679623949,27.0,111.1875,100.0
TF:mod4_centroid,8,2.9470481872558594,198.0,0.3187936871870717,5.0,0.46117464587156265,173.0,0.24817994294715598,45.0,382.0,19.0,-3.0,52.5,-1.0,382.0,0.0030753778282222206,32.0,113.3125,100.0
TF:Et_min,8,0.03401680663228035,490.0,0.34807190152659756,1.0,0.675936636782946,25.0,0.2970926034052922,18.0,391.0,10.0,-3.0,52.5,-1.0,382.0,0.0036304199964732184,28.0,125.8125,100.0
TF:DWT_L2_entropy,8,0.5176898241043091,304.0,0.3095434907732854,25.0,0.6723844603984874,28.0,0.21602195853389325,108.0,356.0,45.0,-3.0,52.5,-1.0,382.0,0.0011960981825500587,86.0,128.8125,100.0
TF:mod5_centroid,8,2.7117197513580322,202.0,0.3112946189641133,20.0,0.42412323481032477,226.0,0.23365075565794918,67.0,368.0,33.0,-4.0,152.5,-1.0,382.0,0.0034608222411541445,29.0,138.9375,100.0
TF:mod2_centroid,8,2.7848410606384277,200.0,0.3031603877111622,40.0,0.4532980132863691,181.0,0.2463821674459666,47.0,360.0,41.0,-4.0,152.5,-1.0,382.0,0.0014092237384223584,75.0,139.8125,100.0
TF:DWT_L1_entropy,8,0.43004265427589417,316.0,0.30290700981237784,41.0,0.5673924301407265,67.0,0.23060471914427413,73.0,308.0,93.0,-3.0,52.5,-1.0,382.0,0.0010765571891692687,95.0,139.9375,100.0
TF:WPT_aadd_entropy,8,0.7362557649612427,264.0,0.3164919439451477,9.0,0.7446036165852605,10.0,0.21165421557047837,132.0,361.0,40.0,-5.0,252.5,-1.0,382.0,0.002302360017581846,49.0,142.3125,100.0
TF:mod6_centroid,8,2.626305341720581,205.0,0.3059018439770076,31.0,0.40443738351020864,270.0,0.21592840402410782,109.0,355.0,46.0,-3.0,52.5,-1.0,382.0,0.0018580334166366525,55.0,143.8125,100.0
TF:mod8_centroid,8,2.4963769912719727,211.0,0.29950600650900155,50.0,0.3753277316389374,297.0,0.21249987607202725,127.0,343.0,58.0,-3.0,52.5,-1.0,382.0,0.0028968782951872794,37.0,151.8125,100.0
TF:mod7_centroid,8,2.5810182094573975,207.0,0.3041510899750386,39.0,0.3918215962058125,285.0,0.21591788659941666,110.0,349.0,52.0,-4.0,152.5,-1.0,382.0,0.004000769628679311,21.0,156.0625,100.0
TF:DWT_L3_entropy,8,0.6303408741950989,284.5,0.3174996360675374,6.5,0.7178654013326629,16.0,0.21188885822500117,130.5,357.0,44.0,-6.0,352.5,-1.0,382.0,0.0025249746062455222,46.0,157.75,100.0
TF:WPT_aaad_entropy,8,0.6303408741950989,284.5,0.3174996360675374,6.5,0.71791851751135,15.0,0.21188885822500117,130.5,352.0,49.0,-6.0,352.5,-1.0,382.0,0.0017522125379031224,57.0,159.625,100.0
TF:DWT_L5_entropy,8,0.6463368535041809,279.0,0.31664027232735154,8.0,0.7606961140312094,6.0,0.2212148201597737,92.0,320.0,81.0,-7.0,452.5,-1.0,382.0,0.009862892561665138,1.0,162.6875,100.0
TF:mod3_centroid,8,2.934588670730591,199.0,0.31400820537660407,16.0,0.4670858010165917,164.0,0.2440670253539134,51.0,379.0,22.0,-7.0,452.5,-1.0,382.0,0.0029156273858356617,36.0,165.3125,100.0
TF:DWT_L2_iqr,8,0.6286594867706299,286.0,0.292930649483031,60.0,0.4354797398525201,204.0,0.2764223829159445,26.0,271.0,130.0,-3.0,52.5,-1.0,382.0,0.0004211396706928962,198.0,167.3125,100.0
