k,accuracy,balanced_accuracy,f1_macro,train_seconds
10,0.8123287671232877,0.763245344065028,0.7366792953274764,5.4519255890045315
20,0.923972602739726,0.9064791653837565,0.8969970766122826,5.299688018014422
40,0.939041095890411,0.9235055001524618,0.9152402414011807,5.504826694988878
80,0.9773972602739726,0.9628458772518186,0.96769497366087,5.334419349004747
120,0.9815068493150685,0.9636075826288697,0.9706312701381905,6.689875345007749
160,0.9856164383561644,0.9730386316516292,0.9776576851158031,7.945163402997423
200,0.9801369863013699,0.9635565466659192,0.9691446706124682,8.830627023009583
271,0.9883561643835617,0.9795299412799189,0.9826432896306038,11.417318759980844
400,0.989041095890411,0.9803198306954007,0.9834670146728284,16.37551384101971
600,0.9904109589041096,0.9826820471549077,0.986056154180992,25.000563292007428
800,0.9897260273972602,0.9830188519848772,0.9852669214245667,34.24221472101635
1002,0.9897260273972602,0.9822364143563337,0.9853755244872594,41.721939805021975
