feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
SPAT:st_grad_c_energy,8,355649280.0,11.0,0.27635687205657655,95.0,0.4824639565557929,112.0,0.3165318080093591,23.0,392.0,9.0,-3.0,52.5,-1.0,161.5,0.004823901882151686,6.0,58.75,100.0
TF:mod3_centroid,8,2.9796054363250732,198.0,0.3267074997399695,5.0,0.5173358439981164,81.0,0.27924801046386766,71.0,375.0,26.0,-3.0,52.5,-1.0,161.5,0.004544925101897289,9.0,75.5,100.0
TF:mod2_centroid,8,2.9960620403289795,197.0,0.3230863532115481,6.0,0.4917137322075571,102.0,0.2837411978975082,64.0,366.0,35.0,-3.0,52.5,-1.0,161.5,0.004718305867247014,7.0,78.125,100.0
TF:mod4_centroid,8,2.710521697998047,204.0,0.3226267265044276,7.0,0.46352520318664814,127.0,0.3024949113250132,40.0,369.0,32.0,-3.0,52.5,-1.0,161.5,0.00407648025148169,12.0,79.5,100.0
TIME:burst_rate,8,10845.9326171875,52.0,0.2951594148194117,49.0,0.5777273568783365,55.0,0.32663939249586676,13.5,343.0,58.0,-5.0,252.5,-1.0,161.5,0.0017905900998999628,57.0,87.3125,100.0
SPAT:st_skew,8,0.044724613428115845,475.0,0.3174862270431801,11.0,0.7330193820639135,16.0,0.40676275883018537,1.0,374.0,27.0,-1.0,1.0,-1.0,161.5,0.0035304136719813673,16.0,88.5625,100.0
TF:mod6_centroid,8,2.848132848739624,200.0,0.3138913534630061,15.0,0.4453132510216422,144.0,0.2693729530650287,80.0,358.0,43.0,-3.0,52.5,-1.0,161.5,0.002116888937130047,47.0,92.875,100.0
TF:DWT_L2_entropy,8,0.47138988971710205,305.0,0.30804454823761473,22.0,0.7362230997488584,14.0,0.30816074960905976,31.0,371.0,30.0,-4.0,152.5,-1.0,161.5,0.0024797960356896984,34.0,93.75,100.0
TF:mod5_centroid,8,2.753760814666748,203.0,0.3114883933236478,19.0,0.4328917639625369,165.0,0.26067135525046253,102.0,351.0,50.0,-3.0,52.5,-1.0,161.5,0.002365685813355846,37.0,98.75,100.0
TF:WPT_aadd_entropy,8,0.6991099119186401,268.0,0.3062683209709183,27.0,0.7440508008804201,13.0,0.31206545337040126,25.0,328.0,73.0,-5.0,252.5,-1.0,161.5,0.0033676186258838428,18.0,104.75,100.0
TIME:burst_count,8,7278.57568359375,54.0,0.29515955342543976,48.0,0.5700991953324097,61.0,0.32663939249586676,13.5,338.0,63.0,-5.0,252.5,-1.0,161.5,0.00048060467723243016,198.0,106.4375,100.0
TF:Et_min,8,0.032340146601200104,495.0,0.34423320006624536,2.0,0.6959643600570247,27.0,0.3997102707877191,2.0,383.0,18.0,-4.0,152.5,-1.0,161.5,0.0037263886387253827,14.0,109.0,100.0
TF:WPT_dada_entropy,8,0.7603344917297363,258.0,0.30698620971118507,24.0,0.7317700344177702,18.0,0.32022470025996025,20.0,306.0,95.0,-4.0,152.5,-1.0,161.5,0.0005657272037427256,174.0,112.875,100.0
SPAT:st_burstiness,8,0.06208940967917442,456.0,0.27180687413133714,111.0,0.8085270175770445,5.0,0.33002837875080065,12.0,378.0,23.0,-4.0,152.5,-1.0,161.5,0.004392024112941025,10.0,116.375,100.0
TF:tf_ridge_density,8,0.03773128613829613,481.0,0.3049246292505768,33.0,0.618568173867136,47.0,0.2811862402271024,68.0,391.0,10.0,-4.0,152.5,-1.0,161.5,0.006035545542152555,3.0,119.5,100.0
