k,accuracy,balanced_accuracy,f1_macro,train_seconds
10,0.7619047619047619,0.7742165242165241,0.6441077441077441,2.676127800001268
20,0.7619047619047619,0.7742165242165241,0.6379731379731378,2.2983099999983096
40,0.7619047619047619,0.7799145299145299,0.6435281385281385,2.1628014000016265
80,0.8333333333333334,0.8297720797720798,0.7057671957671957,2.1013918000026024
120,0.8333333333333334,0.839031339031339,0.725032679738562,2.0352101999997103
160,0.8333333333333334,0.824074074074074,0.6934523809523809,2.066828600000008
200,0.8571428571428571,0.851851851851852,0.7402777777777777,2.0976482999976724
271,0.8571428571428571,0.8482905982905983,0.7432915622389307,2.1534909999973024
400,0.8809523809523809,0.861111111111111,0.7587301587301587,2.339267400002427
600,0.8571428571428571,0.8482905982905983,0.7432915622389307,3.0232423999987077
800,0.8809523809523809,0.861111111111111,0.7587301587301587,3.348789500003477
1002,0.8333333333333334,0.8297720797720798,0.7057671957671957,4.304617899997538
