true,predicted,pct_of_true,n
walk,background,9.913793103448276,23
shake,background,5.970149253731343,8
dig,knock,4.594594594594595,17
walk,shake,4.310344827586207,10
walk,dig,3.4482758620689653,8
water,walk,2.7522935779816518,6
walk,knock,1.7241379310344827,4
water,shake,1.3761467889908259,3
dig,walk,1.0810810810810811,4
background,shake,0.881057268722467,2
dig,shake,0.5405405405405406,2
knock,shake,0.482315112540193,3
knock,background,0.482315112540193,3
water,background,0.45871559633027525,1
water,dig,0.45871559633027525,1
walk,water,0.43103448275862066,1
knock,water,0.3215434083601286,2
dig,background,0.2702702702702703,1
knock,dig,0.1607717041800643,1
knock,walk,0.1607717041800643,1
