feature,importance,domain
FREQ:spec_rolloff85,4579.0,FREQ
SPAT:st_hist_contrast,4360.0,SPAT
TF:DWT_L6_entropy,3385.0,TF
TIME:p1,3365.0,TIME
TF:Et_min,3232.0,TF
FREQ:peak_count,3166.0,FREQ
TF:WPT_ddaa_entropy,3038.0,TF
TF:stft_skew,2949.0,TF
TF:DWT_L2_entropy,2722.0,TF
TF:DWT_L1_entropy,2718.0,TF
TF:WPT_aadd_entropy,2662.0,TF
TF:WPT_adad_entropy,2560.0,TF
TF:mod6_centroid,2487.0,TF
TF:mod5_centroid,2467.0,TF
TF:mod8_centroid,2464.0,TF
TF:mod9_centroid,2449.0,TF
TIME:n_valleys,2426.0,TIME
TF:mod7_centroid,2423.0,TF
TF:mod3_entropy,2356.0,TF
TIME:mean_peak_amp,2356.0,TIME
TF:mod1_entropy,2293.0,TF
TF:DWT_L3_min,2279.0,TF
TF:DWT_L2_mad,2273.0,TF
TF:mod4_centroid,2252.0,TF
TF:DWT_L5_entropy,2240.0,TF
TF:mod3_centroid,2237.0,TF
TF:DWT_L3_iqr,2230.0,TF
TF:mod4_entropy,2225.0,TF
TF:DWT_L2_iqr,2212.0,TF
TF:DWT_L3_mad,2190.0,TF
TIME:env_crest,2187.0,TIME
TF:DWT_L4_entropy,2167.0,TF
TF:DWT_L3_entropy,2107.0,TF
TF:Et_iqr,2037.0,TF
TIME:longest_run_above,2003.0,TIME
TIME:energy_spread,2000.0,TIME
TF:mod2_entropy,1974.0,TF
TF:mod1_centroid,1969.0,TF
TIME:iqr,1934.0,TIME
TF:flux_max,1869.0,TF
TF:mod2_centroid,1841.0,TF
TIME:energy_gini,1838.0,TIME
TIME:std_peak_amp,1813.0,TIME
TIME:hist_entropy,1801.0,TIME
TIME:p99,1777.0,TIME
TF:Et_spread,1753.0,TF
TIME:env_skew,1744.0,TIME
TF:Et_p25,1488.0,TF
TF:Et_range,1433.0,TF
TF:WPT_aaad_iqr,464.0,TF
TF:WPT_aaad_min,454.0,TF
TF:WPT_aaad_mad,441.0,TF
TF:WPT_aaad_entropy,441.0,TF
