feature,importance,domain
SPAT:st_skew,1287.0,SPAT
SPAT:sp_skew,1071.0,SPAT
SPAT:st_t_entropy,1064.0,SPAT
SPAT:st_entropy,1020.0,SPAT
SPAT:sp_gini,938.0,SPAT
TF:DWT_L5_zcr,915.0,TF
SPAT:sp_kurt,865.0,SPAT
SPAT:sp_grad_std,716.0,SPAT
SPAT:st_traj_var,679.0,SPAT
SPAT:st_anisotropy,672.0,SPAT
SPAT:st_grad_c_energy,648.0,SPAT
SPAT:st_t_spread,591.0,SPAT
SPAT:st_edge_density_t,567.0,SPAT
SPAT:st_edge_density_c,536.0,SPAT
SPAT:sp_grad_max,520.0,SPAT
SPAT:st_grad_corr,513.0,SPAT
TF:DWT_L4_zcr,490.0,TF
SPAT:sp_grad_mean_abs,480.0,SPAT
TF:glcm_8_correlation_d1_a1,472.0,TF
SPAT:sp_grad_energy,468.0,SPAT
SPAT:st_grad_c_mean,453.0,SPAT
SPAT:sp_argmax,443.0,SPAT
SPAT:st_kurt,434.0,SPAT
TF:glcm_18_correlation_d1_a3,392.0,TF
TIME:p1,391.0,TIME
SPAT:st_grad_t_mean,385.0,SPAT
SPAT:st_burstiness,378.0,SPAT
TF:DWT_L6_entropy,362.0,TF
TIME:ssc_rate,362.0,TIME
TF:glcm_63_correlation_d4_a0,346.0,TF
TF:coherence_mean,345.0,TF
TF:glcm_73_correlation_d4_a2,345.0,TF
TF:mod4_centroid,343.0,TF
TF:glcm_48_correlation_d3_a1,327.0,TF
TF:DWT_L6_zcr,326.0,TF
TF:mod8_centroid,323.0,TF
TF:mod6_centroid,322.0,TF
TF:glcm_3_correlation_d1_a0,321.0,TF
TIME:median,320.0,TIME
SPAT:st_grad_t_energy,320.0,SPAT
TF:glcm_53_correlation_d3_a2,305.0,TF
TF:glcm_33_correlation_d2_a2,296.0,TF
TF:WPT_aadd_zcr,277.0,TF
TF:mod9_centroid,276.0,TF
TF:mod7_centroid,267.0,TF
TF:mod3_entropy,266.0,TF
TF:tf_fill_ratio,261.0,TF
TF:mod5_centroid,261.0,TF
TIME:seg_energy_0,260.0,TIME
TF:Et_min,259.0,TF
TF:mod4_entropy,258.0,TF
TF:mod7_entropy,241.0,TF
TF:mod8_entropy,237.0,TF
TF:DWT_L6_kurt,236.0,TF
TF:glcm_60_contrast_d4_a0,236.0,TF
SPAT:st_active_dur_frac,235.0,SPAT
FREQ:hist_b29,235.0,FREQ
TF:divergence_mean,233.0,TF
TF:mod6_entropy,230.0,TF
TF:DWT_L2_zcr,227.0,TF
TF:mod9_entropy,225.0,TF
SPAT:st_direction,221.0,SPAT
TF:glcm_68_correlation_d4_a1,213.0,TF
TF:glcm_67_homogeneity_d4_a1,205.0,TF
TIME:p5,202.0,TIME
TF:mod2_centroid,201.0,TF
TF:das_cyclostationary_index,199.0,TF
SPAT:st_t_centroid,194.0,SPAT
TF:mod5_entropy,189.0,TF
TF:flux_mean,186.0,TF
TF:WPT_aaad_abs_mean,180.0,TF
TIME:trimmed_mean10,179.0,TIME
TF:mod2_entropy,177.0,TF
TIME:activity_factor,174.0,TIME
TIME:seg_energy_2,173.0,TIME
TF:glcm_58_correlation_d3_a3,168.0,TF
TIME:higuchi_fd,166.0,TIME
TIME:burst_mean_gap,166.0,TIME
TIME:seg_energy_3,163.0,TIME
TF:glcm_62_homogeneity_d4_a0,161.0,TF
TF:DWT_L3_zcr,160.0,TF
SPAT:sp_q50,157.0,SPAT
TF:Ef_p25,151.0,TF
TF:DWT_L1_iqr,150.0,TF
TF:mod3_centroid,149.0,TF
TIME:energy_entropy,147.0,TIME
TF:DWT_L0_mad,143.0,TF
TF:DWT_L5_entropy,142.0,TF
TF:mod1_entropy,142.0,TF
TF:DWT_L1_entropy,140.0,TF
TIME:p90,137.0,TIME
SPAT:st_traj_range,137.0,SPAT
TF:DWT_L2_iqr,137.0,TF
TF:mod1_centroid,137.0,TF
FREQ:spec_slope,135.0,FREQ
TIME:skew,134.0,TIME
SPAT:st_linearity_r2,134.0,SPAT
SPAT:st_t_skew,134.0,SPAT
TF:glcm_13_correlation_d1_a2,133.0,TF
TF:coherence_std,133.0,TF
SPAT:st_vel_std,133.0,SPAT
TF:glcm_64_entropy_d4_a0,131.0,TF
TF:glcm_47_homogeneity_d3_a1,129.0,TF
TF:WPT_aaaa_mad,127.0,TF
TF:lbp_b7,127.0,TF
TIME:std_peak_interval,127.0,TIME
TIME:p10,127.0,TIME
TF:WPT_aaaa_iqr,126.0,TF
TF:mod4_spread,126.0,TF
TF:glcm_65_contrast_d4_a1,125.0,TF
TF:glcm_23_correlation_d2_a0,125.0,TF
TF:flux_std,125.0,TF
TIME:kurt,124.0,TIME
TF:DWT_L4_entropy,123.0,TF
TF:lbp_b8,122.0,TF
TF:glcm_43_correlation_d3_a0,121.0,TF
TF:WPT_aaaa_median,121.0,TF
TF:stft_p25,120.0,TF
TIME:seg_energy_4,119.0,TIME
TF:mod10_entropy,119.0,TF
TF:lbp_b3,119.0,TF
TF:WPT_aada_zcr,117.0,TF
FREQ:spec_rolloff,117.0,FREQ
TIME:p25,117.0,TIME
TIME:burst_count,117.0,TIME
SPAT:st_t_max,117.0,SPAT
SPAT:st_hist_energy,116.0,SPAT
TF:tf_freq_time_var_ratio,116.0,TF
TF:mod6_spread,115.0,TF
TF:glcm_78_correlation_d4_a3,114.0,TF
TF:DWT_L1_zcr,114.0,TF
TF:tfband_4,112.0,TF
TF:lbp_b24,112.0,TF
TF:lbp_b31,112.0,TF
TIME:zcr,111.0,TIME
TF:WPT_aadd_entropy,110.0,TF
TIME:p95,110.0,TIME
TF:DWT_L2_entropy,109.0,TF
TF:tfband_3,108.0,TF
TF:DWT_L1_mad,108.0,TF
TF:DWT_L0_iqr,108.0,TF
TIME:mean_peak_amp,107.0,TIME
TF:mod8_spread,107.0,TF
TF:tf_aspect_ratio,107.0,TF
TF:mod5_spread,106.0,TF
TF:novelty,105.0,TF
TF:glcm_28_correlation_d2_a1,104.0,TF
TF:DWT_L2_mad,104.0,TF
TIME:energy_gini,102.0,TIME
