feature,importance,domain
SPAT:st_skew,0.5708922423751108,SPAT
FREQ:bandP_6,0.5251580378939206,FREQ
TF:das_tonal_ratio,0.4835621397328788,TF
SPAT:st_grad_c_energy,0.46184655481943765,SPAT
SPAT:sp_skew,0.4165409240347153,SPAT
TF:glcm_65_contrast_d4_a1,0.37864927223581235,TF
TF:Et_min,0.36837217335048916,TF
TF:WPT_aaaa_entropy,0.33001922012865953,TF
SPAT:st_hist_contrast,0.32898407177854244,SPAT
SPAT:st_grad_t_energy,0.32609028398870904,SPAT
SPAT:sp_kurt,0.3105440813770143,SPAT
TF:glcm_70_contrast_d4_a2,0.30733438764546406,TF
TF:flux_max,0.2995998723246671,TF
TF:mod1_centroid,0.2847130838772816,TF
SPAT:st_hist_entropy,0.28243597240381707,SPAT
TF:glcm_40_contrast_d3_a0,0.2700511594700357,TF
TF:DWT_L2_min,0.2694845626841272,TF
TIME:hist_entropy,0.26755581717029797,TIME
TF:mod2_centroid,0.2612639111578731,TF
TF:mod3_centroid,0.2572985946211566,TF
TF:mod6_entropy,0.25498531040478967,TF
TF:WPT_dada_entropy,0.2548637442861474,TF
TF:WPT_ddad_kurt,0.25040895465309326,TF
TF:mod4_entropy,0.24749774455260373,TF
TF:mod6_centroid,0.2466000987399232,TF
TF:mod9_centroid,0.24452955454050085,TF
TF:mod4_centroid,0.23527623724076388,TF
TF:WPT_ddad_entropy,0.2294024164251107,TF
TIME:p1,0.22599461955161368,TIME
TIME:burst_rate,0.2249117646692331,TIME
TIME:burst_count,0.22491176330562754,TIME
TF:tf_ridge_density,0.2233208969185879,TF
TIME:mean_peak_amp,0.2214578381046108,TIME
TF:DWT_L3_tk_std,0.21988699390028468,TF
TF:DWT_L2_entropy,0.21761902498719177,TF
TF:DWT_L2_p2p,0.21724085503314597,TF
TF:DWT_L2_range,0.21724085503314597,TF
TIME:longest_run_above,0.20475166134222733,TIME
TF:mod3_entropy,0.20207730086057796,TF
SPAT:st_entropy,0.20072043393437075,SPAT
SPAT:st_t_skew,0.19801239863293332,SPAT
TF:WPT_aadd_entropy,0.1979201927454173,TF
TIME:p99,0.18124123908569037,TIME
TF:DWT_L3_entropy,0.1706570484002463,TF
TF:WPT_aaad_entropy,0.1706570484002463,TF
TF:Et_p25,0.16741472356837095,TF
TIME:skew,0.16487748601131116,TIME
TF:DWT_L4_entropy,0.16279616955041867,TF
TF:Et_spread,0.15709115878522176,TF
TF:WPT_aaad_abs_mean,0.15475673550464378,TF
TF:DWT_L2_iqr,0.15442080546813983,TF
SPAT:st_kurt,0.15305861945211718,SPAT
TF:WPT_aaaa_mad,0.15003665320704448,TF
TIME:energy_spread,0.14197083593453144,TIME
TF:WPT_adda_entropy,0.1358116627603916,TF
TIME:env_skew,0.13402685650052204,TIME
TF:WPT_aaad_min,0.1329797365814322,TF
TF:DWT_L3_min,0.1329797365814322,TF
TF:mod8_centroid,0.13186710557974002,TF
TF:mod2_entropy,0.12903361767589883,TF
TF:DWT_L2_mad,0.1285987474940714,TF
TF:WPT_aaaa_iqr,0.12749761633081388,TF
SPAT:st_burstiness,0.12319743183573767,SPAT
TF:WPT_ddda_entropy,0.12174558694790767,TF
TF:mod5_centroid,0.11054254269524592,TF
TF:DWT_L1_entropy,0.10963088966763944,TF
TF:WPT_aaad_mad,0.10763549310311095,TF
TF:DWT_L3_mad,0.10763549310311095,TF
TF:mod7_entropy,0.10558590099151398,TF
TIME:std_peak_amp,0.08667611542413689,TIME
TF:mod7_centroid,0.08634920134424968,TF
TF:mod5_entropy,0.07693408047070492,TF
TF:WPT_aaad_iqr,0.07474592769589185,TF
TF:DWT_L3_iqr,0.07474592769589185,TF
