held_out_date,n_test,n_classes_in_test,accuracy,f1_macro
220112,831,2,100.0,100.0
220113,626,2,98.56230031948881,49.624778862067
220116,2130,3,84.50704225352112,57.31301939058172
220117,1690,5,98.93491124260355,88.31140478812353
220121,912,2,99.4517543859649,49.8534940911775
220122,2298,4,91.29677980852917,61.766697397364545
220418,43,2,97.67441860465115,66.0377358490566
220509,359,2,97.21448467966573,45.400712889502124
220517,1853,4,48.839719373988125,33.20162570282864
220518,825,2,51.63636363636363,26.73674778796461
