held_out_recording,true_class,n_test,accuracy,recall_on_true_class
auto2_2023-04-17T124510+0100,car,1118,90.4293381037567,90.4293381037567
auto4_2023-06-06T144655+0100,car,2956,99.05277401894452,99.05277401894452
auto4_2023-06-06T145055+0100,car,19851,72.7167397108458,72.7167397108458
auto_2023-04-17T124152+0100,car,5084,40.93233674272226,40.93233674272226
fence_2023-04-17T123117+0100,fence,930,43.87096774193549,43.87096774193549
kopani_plot_2023-11-07T150207Z,fence,23208,83.82885211995863,83.82885211995863
longboard_2023-04-17T123543+0100,longboard,8848,6.216094032549728,6.216094032549728
longboardroad_2023-04-17T123638+0100,longboard,4456,31.73249551166966,31.73249551166966
plot_2023-11-07T150119Z,fence,13977,91.97968090434286,91.97968090434286
walking2_2023-04-17T122153+0100,walk,13910,70.647016534867,70.647016534867
walking_2023-04-17T121933+0100,walk,4191,70.93772369362921,70.93772369362921
