dataset,phase,stage,ms_per_window,hours_for_100k_windows
cao,offline feature extraction,time,42.619,1.184
cao,offline feature extraction,freq,3.339,0.093
cao,offline feature extraction,tf,59.487,1.652
cao,offline feature extraction,spatial,17.097,0.475
cao,offline feature extraction,TOTAL,122.542,3.404
cao,offline feature selection,variance,,0.0
cao,offline feature selection,pearson,,0.0001
cao,offline feature selection,mutual_info,,0.0141
cao,offline feature selection,relieff,,0.0601
cao,offline feature selection,mrmr,,0.0403
cao,offline feature selection,rfe,,0.0132
cao,offline feature selection,boruta,,0.2069
cao,offline feature selection,shap,,0.0152
cao,online inference,LightGBM predict,0.07028,0.00195
tomasov,offline feature extraction,time,43.164,1.199
tomasov,offline feature extraction,freq,3.354,0.093
tomasov,offline feature extraction,tf,60.672,1.685
tomasov,offline feature extraction,spatial,37.403,1.039
tomasov,offline feature extraction,TOTAL,144.594,4.016
tomasov,offline feature selection,variance,,0.0001
tomasov,offline feature selection,pearson,,0.0014
tomasov,offline feature selection,mutual_info,,0.0248
tomasov,offline feature selection,relieff,,0.064
tomasov,offline feature selection,mrmr,,0.0485
tomasov,offline feature selection,rfe,,0.0722
tomasov,offline feature selection,boruta,,0.1847
tomasov,offline feature selection,shap,,0.0432
tomasov,online inference,LightGBM predict,0.14517,0.00403
