dataset,phase,stage,ms_per_window,hours_for_100k_windows
cao,offline feature extraction,time,41.916,1.164
cao,offline feature extraction,freq,3.364,0.093
cao,offline feature extraction,tf,59.808,1.661
cao,offline feature extraction,spatial,17.491,0.486
cao,offline feature extraction,TOTAL,122.579,3.405
cao,offline feature selection,variance,,0.0
cao,offline feature selection,pearson,,0.0
cao,offline feature selection,mutual_info,,0.001
cao,offline feature selection,relieff,,0.0049
cao,offline feature selection,mrmr,,0.0101
cao,offline feature selection,rfe,,0.0004
cao,offline feature selection,boruta,,0.0108
cao,offline feature selection,shap,,0.0009
cao,online inference,LogisticRegression predict,0.02829,0.00079
tomasov,offline feature extraction,time,7.934,0.22
tomasov,offline feature extraction,freq,1.032,0.029
tomasov,offline feature extraction,tf,18.892,0.525
tomasov,offline feature extraction,spatial,38.283,1.063
tomasov,offline feature extraction,TOTAL,66.141,1.837
tomasov,offline feature selection,variance,,0.0
tomasov,offline feature selection,pearson,,0.0
tomasov,offline feature selection,mutual_info,,0.0015
tomasov,offline feature selection,relieff,,0.0061
tomasov,offline feature selection,mrmr,,0.0104
tomasov,offline feature selection,rfe,,0.0009
tomasov,offline feature selection,boruta,,0.0084
tomasov,offline feature selection,shap,,0.0016
tomasov,online inference,HistGradientBoosting predict,7.56863,0.21024
