dataset,arm,n_features,accuracy,balanced_accuracy,f1_macro,train_seconds
tomasov,all 1002 (reference),1002,90.83289218281277,81.87271796817623,81.80550482859827,620.2
tomasov,no spatial (941),941,63.1286394917946,61.09144741400454,62.13339605384278,551.6
tomasov,no time-frequency (263),263,90.77113110993471,81.73447653868708,81.57447989930058,137.5
tomasov,no time (890),890,90.86818422445738,81.96297143037472,81.90072837588613,527.7
tomasov,no frequency (912),912,90.71819304746779,81.77371873958981,81.72106351552306,537.7
tomasov,spatial ONLY (61),61,87.20663490382918,75.10797865738118,75.56102273506306,33.6
tomasov,time-frequency ONLY (739),739,59.299452973354505,57.90164527975055,58.97642417622815,430.5
cao,all 1002 (reference),1002,99.057127010538,99.0476328838474,98.88681483419934,42.3
cao,no spatial (941),941,95.23017193566278,93.77184304373887,93.74695577126126,50.6
cao,no time-frequency (263),263,98.55795895729341,98.49393829582444,98.35038023760062,11.9
cao,no time (890),890,98.89073765945646,98.86793240104065,98.63956891745359,37.2
cao,no frequency (912),912,98.72434830837493,98.76027406477775,98.53275209302407,41.2
cao,spatial ONLY (61),61,96.3948973932335,95.65505934074527,95.55352606962671,5.0
cao,time-frequency ONLY (739),739,94.34276206322795,92.52582910479049,92.51191429012661,40.5
