arm,held_out,true_class,n_test,accuracy
with spatial (1002),auto2_2023-04-17T124510+0100,car,205,84.8780487804878
with spatial (1002),auto4_2023-06-06T144655+0100,car,610,98.52459016393442
with spatial (1002),auto4_2023-06-06T145055+0100,car,4084,69.29480901077375
with spatial (1002),auto_2023-04-17T124152+0100,car,1101,32.24341507720254
with spatial (1002),fence_2023-04-17T123117+0100,fence,142,40.140845070422536
with spatial (1002),kopani_plot_2023-11-07T150207Z,fence,3672,80.9640522875817
with spatial (1002),longboard_2023-04-17T123543+0100,longboard,3965,28.474148802017655
with spatial (1002),longboardroad_2023-04-17T123638+0100,longboard,2035,36.46191646191646
with spatial (1002),plot_2023-11-07T150119Z,fence,2186,84.44647758462946
with spatial (1002),walking2_2023-04-17T122153+0100,walk,4601,67.57226689850032
with spatial (1002),walking_2023-04-17T121933+0100,walk,1399,71.05075053609721
without spatial (941),auto2_2023-04-17T124510+0100,car,205,62.926829268292686
without spatial (941),auto4_2023-06-06T144655+0100,car,610,52.78688524590164
without spatial (941),auto4_2023-06-06T145055+0100,car,4084,11.53281096963761
without spatial (941),auto_2023-04-17T124152+0100,car,1101,50.13623978201635
without spatial (941),fence_2023-04-17T123117+0100,fence,142,41.54929577464789
without spatial (941),kopani_plot_2023-11-07T150207Z,fence,3672,20.28867102396514
without spatial (941),longboard_2023-04-17T123543+0100,longboard,3965,59.243379571248425
without spatial (941),longboardroad_2023-04-17T123638+0100,longboard,2035,52.579852579852584
without spatial (941),plot_2023-11-07T150119Z,fence,2186,42.90942360475755
without spatial (941),walking2_2023-04-17T122153+0100,walk,4601,34.123016735492286
without spatial (941),walking_2023-04-17T121933+0100,walk,1399,56.111508220157255
