dataset,class,domain,n_groups,recording_id_accuracy,majority_chance,above_chance_pp
tomasov,car,time,4,78.65612648221344,78.26,0.4
tomasov,car,freq,4,76.6798418972332,78.26,-1.58
tomasov,car,tf,4,77.4703557312253,78.26,-0.79
tomasov,car,spatial,4,97.23320158102767,78.26,18.97
tomasov,car,all,4,98.81422924901186,78.26,20.55
tomasov,fence,time,3,60.56338028169014,48.83,11.74
tomasov,fence,freq,3,62.441314553990615,48.83,13.62
tomasov,fence,tf,3,60.56338028169014,48.83,11.74
tomasov,fence,spatial,3,84.97652582159625,48.83,36.15
tomasov,fence,all,3,86.3849765258216,48.83,37.56
tomasov,walk,time,2,69.81132075471697,78.17,-8.36
tomasov,walk,freq,2,68.73315363881402,78.17,-9.43
tomasov,walk,tf,2,72.50673854447439,78.17,-5.66
tomasov,walk,spatial,2,61.725067385444746,78.17,-16.44
tomasov,walk,all,2,61.99460916442049,78.17,-16.17
cao,background,time,6,36.12334801762114,48.9,-12.78
cao,background,freq,6,51.98237885462555,48.9,3.08
cao,background,tf,6,44.052863436123346,48.9,-4.85
cao,background,spatial,6,76.2114537444934,48.9,27.31
cao,background,all,6,81.93832599118943,48.9,33.04
cao,dig,time,9,65.4054054054054,31.89,33.51
cao,dig,freq,9,56.21621621621622,31.89,24.32
cao,dig,tf,9,66.75675675675676,31.89,34.86
cao,dig,spatial,9,75.94594594594595,31.89,44.05
cao,dig,all,9,79.72972972972973,31.89,47.84
cao,knock,time,6,95.17684887459808,63.5,31.67
cao,knock,freq,6,62.37942122186495,63.5,-1.13
cao,knock,tf,6,95.98070739549838,63.5,32.48
cao,knock,spatial,6,95.65916398713826,63.5,32.15
cao,knock,all,6,97.90996784565917,63.5,34.41
cao,shake,time,3,93.28358208955224,72.39,20.9
cao,shake,freq,3,84.32835820895522,72.39,11.94
cao,shake,tf,3,98.50746268656717,72.39,26.12
cao,shake,spatial,3,99.25373134328358,72.39,26.87
cao,shake,all,3,100.0,72.39,27.61
cao,walk,time,4,90.51724137931035,61.64,28.88
cao,walk,freq,4,77.15517241379311,61.64,15.52
cao,walk,tf,4,92.67241379310344,61.64,31.03
cao,walk,spatial,4,95.6896551724138,61.64,34.05
cao,walk,all,4,96.98275862068965,61.64,35.34
cao,water,time,11,73.85321100917432,21.1,52.75
cao,water,freq,11,70.18348623853211,21.1,49.08
cao,water,tf,11,77.06422018348624,21.1,55.96
cao,water,spatial,11,84.40366972477065,21.1,63.3
cao,water,all,11,85.77981651376146,21.1,64.68
