dataset,domain,mean_id_accuracy,mean_above_chance
cao,all,90.39009978350491,40.48666666666667
cao,spatial,87.86060331967427,37.955
cao,tf,79.17240404192256,29.266666666666666
cao,time,75.72660612927693,25.82166666666667
cao,freq,67.04083885899786,17.135
tomasov,all,82.39793831308465,13.979999999999999
tomasov,spatial,81.31159826268956,12.89333333333333
tomasov,tf,70.1801581857966,1.7633333333333336
tomasov,time,69.67694250620686,1.2600000000000005
tomasov,freq,69.28477003001261,0.8699999999999998
