feature,abs_corr_with_locus
SPAT:st_grad_c_energy,0.6019661081428106
SPAT:st_grad_c_mean,0.5233301802037531
SPAT:st_edge_density_c,0.2719871369366089
SPAT:st_entropy,0.24177131434195673
SPAT:sp_edge_density,0.23918543847951237
SPAT:st_kurt,0.18587438223295985
SPAT:st_skew,0.1766937232490291
SPAT:st_t_entropy,0.17115997130114854
SPAT:st_burstiness,0.166017173132091
SPAT:st_edge_density_t,0.1605203801247408
SPAT:sp_skew,0.15518950736894543
SPAT:st_traj_range,0.14597379666263569
SPAT:st_traj_var,0.14577824607915274
SPAT:st_vel_std,0.13960479012944121
SPAT:st_hist_uniformity,0.138632279044686
SPAT:st_hist_energy,0.1386322790410331
SPAT:sp_gini,0.13098435099943914
SPAT:st_active_dur_frac,0.1281297687420525
SPAT:sp_kurt,0.10764754695647594
SPAT:st_t_skew,0.10524259854432147
SPAT:st_grad_t_mean,0.10370957897698788
SPAT:sp_grad_max,0.10022833433967228
SPAT:st_hist_entropy,0.09883099252166352
SPAT:sp_grad_energy,0.09746828249527531
SPAT:st_linearity_r2,0.09723768505027201
SPAT:st_hist_contrast,0.08825361400244047
SPAT:st_grad_t_energy,0.0858913833681355
SPAT:st_t_spread,0.07182058376594205
SPAT:sp_grad_std,0.0674613968439711
SPAT:st_t_centroid,0.06285747344727259
SPAT:sp_argmax,0.049025690939709765
SPAT:sp_q25,0.03315278999431851
SPAT:st_t_max,0.03281574253025328
SPAT:st_anisotropy,0.025966246023930228
SPAT:st_grad_corr,0.013383992994034368
SPAT:st_mean,0.012430959143640142
SPAT:sp_grad_mean_abs,0.009875319889422588
SPAT:sp_tv_norm,0.009875319842340602
SPAT:sp_q75,0.00732627983913047
SPAT:sp_q50,0.005862258186507728
SPAT:st_direction,0.0029748201401064984
SPAT:st_vel_mean,0.0022416247161846713
SPAT:st_traj_drift,0.0022416244954182136
SPAT:sp_centroid,0.0
SPAT:st_energy,0.0
SPAT:sp_max_frac,0.0
SPAT:sp_width,0.0
SPAT:sp_active10,0.0
SPAT:sp_active50,0.0
SPAT:sp_active_frac,0.0
SPAT:sp_entropy,0.0
SPAT:sp_flatness,0.0
SPAT:sp_top3_frac,0.0
SPAT:sp_spread,0.0
SPAT:sp_smoothness,0.0
SPAT:sp_n_clusters,0.0
SPAT:sp_cluster_mean,0.0
SPAT:sp_cluster_max,0.0
SPAT:sp_cluster_std,0.0
SPAT:sp_coverage,0.0
SPAT:st_std,0.0
