label,recording_id,windows,blocks,loci,zones
car,auto2_2023-04-17T124510+0100,2775,117,163,7
car,auto4_2023-06-06T144655+0100,7764,106,262,6
car,auto4_2023-06-06T145055+0100,37727,508,646,25
car,auto_2023-04-17T124152+0100,9751,363,162,21
construction,reconstruction1_2023-06-06T150714+0100,54832,494,184,24
fence,fence_2023-04-17T123117+0100,1091,57,58,9
fence,kopani_plot_2023-11-07T150207Z,26654,222,133,12
fence,plot_2023-11-07T150119Z,16236,292,66,15
longboard,longboard_2023-04-17T123543+0100,9801,361,197,18
longboard,longboardroad_2023-04-17T123638+0100,5566,321,99,20
manipulation,manipulation_2023-04-17T122847+0100,17710,529,84,32
openclose,openingclosing_2023-04-17T122658+0100,6792,128,92,15
regular,regularshit_2023-04-17T130103+0100,210023,738,622,37
running,running_2023-04-17T122413+0100,13877,500,117,25
walk,walking2_2023-04-17T122153+0100,14698,787,107,39
walk,walking_2023-04-17T121933+0100,4457,668,84,34
