chunk,n,seconds,skipped
reconstruction1_2023-06-06T150714+0100,27420,4742.698643120006,False
kopani_plot_2023-11-07T150207Z,23208,4114.382269374997,False
auto4_2023-06-06T145055+0100,19851,3588.679966502008,False
manipulation_2023-04-17T122847+0100,15549,2859.9485023570014,False
plot_2023-11-07T150119Z,13977,2627.286464039993,False
walking2_2023-04-17T122153+0100,13910,2478.6477005500055,False
running_2023-04-17T122413+0100,12797,2330.095360901003,False
regularshit_2023-04-17T130103+0100,12349,2317.4062738140055,False
longboard_2023-04-17T123543+0100,8848,1660.1353522549907,False
openingclosing_2023-04-17T122658+0100,5814,1086.9148256060143,False
auto_2023-04-17T124152+0100,5084,984.5796168239904,False
longboardroad_2023-04-17T123638+0100,4456,833.6430119219876,False
walking_2023-04-17T121933+0100,4191,786.9838264879945,False
auto4_2023-06-06T144655+0100,2956,567.5486536120006,False
auto2_2023-04-17T124510+0100,1118,214.59130122201168,False
fence_2023-04-17T123117+0100,930,178.2707860690134,False
