chunk,n,seconds,skipped
regularshit_2023-04-17T130103+0100,60,19.740919799998665,False
running_2023-04-17T122413+0100,60,19.54580960000021,False
reconstruction1_2023-06-06T150714+0100,60,19.43242509999982,False
manipulation_2023-04-17T122847+0100,60,19.36865250000119,False
openingclosing_2023-04-17T122658+0100,60,19.134227299997292,False
auto4_2023-06-06T145055+0100,43,17.37125279999964,False
walking2_2023-04-17T122153+0100,43,16.329220200001146,False
kopani_plot_2023-11-07T150207Z,37,15.221444300001167,False
longboard_2023-04-17T123543+0100,37,14.775503699998808,False
longboardroad_2023-04-17T123638+0100,23,10.895183799999359,False
plot_2023-11-07T150119Z,23,10.349537900001451,False
walking_2023-04-17T121933+0100,17,7.790833900002326,False
auto_2023-04-17T124152+0100,10,5.779996599998412,False
auto4_2023-06-06T144655+0100,5,4.054559500000323,False
auto2_2023-04-17T124510+0100,2,2.0574438000003283,False
