feature,domain,std,abs_max
TIME:mean,time,1.8561063e-17,1.110223e-16
TIME:std,time,0.0,1.0
TIME:var,time,0.0,1.0
TIME:skew,time,0.4069362,8.411266
TIME:kurt,time,2.5238643,145.20024
TIME:min,time,0.9473157,12.730272
TIME:max,time,1.0137093,20.67285
TIME:p2p,time,1.459031,26.957426
TIME:median,time,0.04548182,0.55985445
TIME:mad,time,0.09328141,0.99652815
TIME:iqr,time,0.18898398,2.050245
TIME:p1,time,0.3450594,5.4257226
TIME:p5,time,0.10343125,2.5737302
TIME:p10,time,0.10590045,1.6951121
TIME:p25,time,0.09339694,1.0321391
TIME:p75,time,0.10126013,1.0741233
TIME:p90,time,0.11557217,1.8123372
TIME:p95,time,0.10819341,2.5008183
TIME:p99,time,0.40462947,5.920839
TIME:max_abs,time,1.0992026,20.67285
TIME:mean_abs,time,0.048714764,0.91301244
TIME:rms_to_mad,time,0.56764406,30.339367
TIME:trimmed_mean10,time,0.02239302,0.18853505
TIME:sem,time,2.7095559e-05,0.011048543
TIME:range_over_std,time,1.459031,26.957426
TIME:zero_frac,time,0.0,0.0
TIME:rms,time,0.0,1.0
TIME:energy,time,0.0,8192.0
TIME:log_energy,time,0.0012993554,3.91339
TIME:mean_power,time,0.0,1.0
TIME:crest_factor,time,1.0992026,20.67285
TIME:impulse_factor,time,1.853213,68.58932
TIME:margin_factor,time,2.7392814,136.6813
TIME:shape_factor,time,0.10294544,3.692575
TIME:clearance_factor,time,1.853213,68.58932
TIME:energy_entropy,time,0.33218396,3.321351
TIME:energy_centroid,time,0.86025095,8.975037
TIME:energy_spread,time,0.4149252,4.3443227
TIME:energy_gini,time,0.16369039,0.89639425
TIME:seg_energy_0,time,0.083441384,0.92000026
TIME:seg_energy_1,time,0.06017994,0.87579554
TIME:seg_energy_2,time,0.05751849,0.9019796
TIME:seg_energy_3,time,0.056978393,0.8845879
TIME:seg_energy_4,time,0.055040147,0.8856215
TIME:seg_energy_5,time,0.054521043,0.89486015
TIME:seg_energy_6,time,0.05496672,0.9104214
TIME:seg_energy_7,time,0.05440213,0.8910476
TIME:seg_energy_8,time,0.057612088,0.89505225
TIME:seg_energy_9,time,0.078533806,0.9913461
TIME:zcr,time,253.06374,955.0
TIME:zcr_rate,time,308.94583,1165.9138
TIME:n_peaks,time,62.488285,303.0
TIME:n_valleys,time,63.533493,305.0
TIME:peak_rate,time,152.5513,739.7461
TIME:mean_peak_amp,time,0.15325117,8.575994
TIME:std_peak_amp,time,0.19118416,6.832498
TIME:max_peak_amp,time,1.0136732,20.67285
TIME:mean_peak_interval,time,22.450508,880.125
TIME:std_peak_interval,time,84.99557,2258.3933
TIME:activity_factor,time,0.01816328,0.98042846
TIME:above_1std_frac,time,0.043769285,0.5196533
TIME:above_2std_frac,time,0.010805401,0.106933594
TIME:above_3std_frac,time,0.006264123,0.052246094
TIME:longest_run_above,time,71.62248,438.0
TIME:autocorr_lag1,time,0.01944368,0.99987394
TIME:autocorr_lag10,time,0.3553484,0.99362487
TIME:autocorr_first_zero,time,66.44447,315.0
TIME:autocorr_peak,time,0.01944368,0.99987394
TIME:d1_mean_abs,time,0.077586755,0.2836045
TIME:d1_std,time,0.09629841,0.3828472
TIME:d1_max_abs,time,0.4678506,5.544724
TIME:d2_mean_abs,time,0.03743982,0.1369525
TIME:d2_std,time,0.046530932,0.17719205
TIME:ssc_rate,time,0.009400489,0.16153847
TIME:waveform_length,time,635.51245,2323.0044
TIME:hjorth_activity,time,0.0,1.0
TIME:hjorth_mobility,time,0.09629841,0.3828472
TIME:hjorth_complexity,time,2.505283,23.165154
TIME:katz_fd,time,0.42164657,3.6750093
TIME:higuchi_fd,time,0.03052946,0.3151207
TIME:tkeo_mean,time,0.07326085,0.2785746
TIME:tkeo_std,time,0.077274546,1.8404903
TIME:env_mean,time,0.07650373,1.4038162
TIME:env_std,time,0.11302124,1.3448262
TIME:env_skew,time,0.669682,9.010789
TIME:env_kurt,time,4.263013,96.09205
TIME:env_entropy,time,0.11745022,12.9887905
TIME:env_crest,time,1.6185064,43.5922
TIME:burst_count,time,55.71082,249.0
TIME:burst_rate,time,136.01474,607.91016
TIME:burst_mean_dur,time,26.351425,1042.0
TIME:burst_std_dur,time,45.03172,715.20575
TIME:burst_mean_gap,time,104.95817,7963.0
TIME:burst_occupancy,time,0.018868253,0.2750244
