feature,domain,std,abs_max
TIME:mean,time,1.8279697e-17,5.3776428e-17
TIME:std,time,0.0,1.0
TIME:var,time,0.0,1.0
TIME:skew,time,0.4423234,3.5777748
TIME:kurt,time,2.740899,39.003872
TIME:min,time,0.9236245,9.134117
TIME:max,time,1.1077824,14.980126
TIME:p2p,time,1.469003,19.697605
TIME:median,time,0.04728609,0.28535706
TIME:mad,time,0.1012626,0.9345138
TIME:iqr,time,0.20233057,1.8764871
TIME:p1,time,0.3818415,4.439352
TIME:p5,time,0.11145035,1.9763497
TIME:p10,time,0.11636072,1.3965038
TIME:p25,time,0.10126583,0.93881434
TIME:p75,time,0.10793509,0.93767273
TIME:p90,time,0.13222092,1.5538952
TIME:p95,time,0.12330504,2.1114032
TIME:p99,time,0.44675702,4.955528
TIME:max_abs,time,1.1492796,14.980126
TIME:mean_abs,time,0.054442253,0.88736993
TIME:rms_to_mad,time,0.64258826,9.994374
TIME:trimmed_mean10,time,0.025484068,0.14656624
TIME:sem,time,6.7055225e-08,0.011048543
TIME:range_over_std,time,1.469003,19.697605
TIME:zero_frac,time,0.0,0.0
TIME:rms,time,0.0,1.0
TIME:energy,time,0.0,8192.0
TIME:log_energy,time,3.0517578e-05,3.91339
TIME:mean_power,time,0.0,1.0
TIME:crest_factor,time,1.1492796,14.980126
TIME:impulse_factor,time,1.9948674,26.95082
TIME:margin_factor,time,2.908234,36.38116
TIME:shape_factor,time,0.118301995,2.1466572
TIME:clearance_factor,time,1.9948674,26.95082
TIME:energy_entropy,time,0.36726978,3.3191094
TIME:energy_centroid,time,0.9044643,7.4120793
TIME:energy_spread,time,0.48056856,3.9988835
TIME:energy_gini,time,0.17584871,0.8172102
TIME:seg_energy_0,time,0.0830933,0.50915927
TIME:seg_energy_1,time,0.07279339,0.5677189
TIME:seg_energy_2,time,0.060975976,0.6084083
TIME:seg_energy_3,time,0.0759683,0.64913756
TIME:seg_energy_4,time,0.053005233,0.47802696
TIME:seg_energy_5,time,0.06577615,0.6793994
TIME:seg_energy_6,time,0.06883506,0.61467224
TIME:seg_energy_7,time,0.07404799,0.72747785
TIME:seg_energy_8,time,0.050356872,0.35645893
TIME:seg_energy_9,time,0.07389499,0.5453381
TIME:zcr,time,244.63281,923.0
TIME:zcr_rate,time,298.6603,1126.8466
TIME:n_peaks,time,66.433784,287.0
TIME:n_valleys,time,66.91394,302.0
TIME:peak_rate,time,162.19183,700.6836
TIME:mean_peak_amp,time,0.17665005,3.4189334
TIME:std_peak_amp,time,0.2152846,2.5148456
TIME:max_peak_amp,time,1.1077824,14.980126
TIME:mean_peak_interval,time,23.603035,191.775
TIME:std_peak_interval,time,94.15694,870.33105
TIME:activity_factor,time,0.021353692,0.9500365
TIME:above_1std_frac,time,0.0453851,0.45532227
TIME:above_2std_frac,time,0.00992442,0.08862305
TIME:above_3std_frac,time,0.007128942,0.03942871
TIME:longest_run_above,time,72.1259,355.0
TIME:autocorr_lag1,time,0.019513099,0.999709
TIME:autocorr_lag10,time,0.35481402,0.9885573
TIME:autocorr_first_zero,time,63.565926,230.0
TIME:autocorr_peak,time,0.019513099,0.999709
TIME:d1_mean_abs,time,0.07798314,0.27585912
TIME:d1_std,time,0.09660188,0.3466611
TIME:d1_max_abs,time,0.48288313,3.6245246
TIME:d2_mean_abs,time,0.03783671,0.13110295
TIME:d2_std,time,0.04693036,0.16435026
TIME:ssc_rate,time,0.01118692,0.15763126
TIME:waveform_length,time,638.76025,2259.562
TIME:hjorth_activity,time,0.0,1.0
TIME:hjorth_mobility,time,0.09660188,0.3466611
TIME:hjorth_complexity,time,2.3331187,17.381044
TIME:katz_fd,time,0.43729,3.5030026
TIME:higuchi_fd,time,0.03379889,0.27437323
TIME:tkeo_mean,time,0.07351174,0.22682531
TIME:tkeo_std,time,0.07981683,0.58373505
TIME:env_mean,time,0.085831255,1.3845587
TIME:env_std,time,0.11766851,1.2150977
TIME:env_skew,time,0.6565941,4.989588
TIME:env_kurt,time,4.164927,36.11957
TIME:env_entropy,time,0.13724801,12.967947
TIME:env_crest,time,1.6691289,17.203417
TIME:burst_count,time,58.300873,219.0
TIME:burst_rate,time,142.33615,534.66797
TIME:burst_mean_dur,time,19.679066,182.71428
TIME:burst_std_dur,time,43.417603,380.85922
TIME:burst_mean_gap,time,92.08376,1187.8334
TIME:burst_occupancy,time,0.018403187,0.20678711
TIME:hist_b0,time,0.0052588726,0.059448242
TIME:hist_b1,time,0.016661024,0.20227051
TIME:hist_b2,time,0.03489657,0.33496094
TIME:hist_b3,time,0.05455086,0.62316895
TIME:hist_b4,time,0.061343443,0.44555664
TIME:hist_b5,time,0.06842252,0.44995117
TIME:hist_b6,time,0.07381551,0.6871338
TIME:hist_b7,time,0.066522606,0.48046875
TIME:hist_b8,time,0.061242815,0.42407227
TIME:hist_b9,time,0.0649072,0.36254883
TIME:hist_b10,time,0.05874086,0.41125488
TIME:hist_b11,time,0.040057227,0.30200195
TIME:hist_b12,time,0.021860478,0.21899414
TIME:hist_b13,time,0.011072541,0.11230469
TIME:hist_b14,time,0.004795457,0.053833008
TIME:hist_b15,time,0.001725908,0.014892578
TIME:hist_entropy,time,0.30332917,3.814265
