feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
SPAT:st_grad_t_energy,8,54684664.0,12.0,0.26284853693027493,1.0,0.6459267685801744,4.0,0.27331453202350153,1.0,400.0,1.0,-3.0,52.5,-1.0,226.5,0.007142817440850578,2.0,37.5,100.0
SPAT:st_grad_c_energy,8,2374701056.0,11.0,0.21958158428863156,25.0,0.5713861148801112,7.0,0.20428448574704958,9.0,386.0,15.0,-3.0,52.5,-1.0,226.5,0.004463821159892872,14.0,45.0,100.0
SPAT:st_t_skew,8,5.806055545806885,163.0,0.2210753198138714,9.0,0.4151690713061704,17.0,0.19735829317938056,11.0,381.0,20.0,-3.0,52.5,-1.0,226.5,0.001868001244859439,29.0,66.0,100.0
SPAT:st_vel_std,8,0.22975625097751617,313.0,0.22362197702308428,7.0,0.45149085172679104,14.0,0.2165604269243217,5.0,389.0,12.0,-3.0,52.5,-1.0,226.5,0.0037255765202277294,17.0,80.875,100.0
TF:tfband_2,8,29.662418365478516,109.0,0.21407103498456762,170.0,0.42948760370396677,15.0,0.11767567355346593,43.0,385.0,16.0,-3.0,52.5,-1.0,226.5,0.003696947561078272,18.0,81.25,100.0
TF:DWT_L0_tk_mean,8,452.3592834472656,74.0,0.211429711250764,189.0,0.4183699130284344,16.0,0.11669953037282543,46.0,376.0,25.0,-3.0,52.5,-1.0,226.5,0.002008145756291358,26.0,81.875,100.0
SPAT:st_traj_var,8,11.455711364746094,143.0,0.16909767386684982,433.0,0.45222123060528485,13.0,0.13333024876783933,25.0,359.0,42.0,-3.0,52.5,-1.0,226.5,0.003381545787093671,20.0,119.375,100.0
SPAT:st_traj_range,8,9.290131568908691,148.0,0.19056142808305132,345.0,0.37301208259848906,49.0,0.19494355268177385,12.0,379.0,22.0,-4.0,152.5,-1.0,226.5,0.001499268831795918,34.0,123.625,100.0
SPAT:st_entropy,8,0.03220890834927559,452.0,0.19539521016234024,307.0,0.6346506195850741,5.0,0.20112270380956895,10.0,394.0,7.0,-1.0,1.0,-1.0,226.5,0.005026308067080575,10.0,127.3125,100.0
TF:Ef_kurt,8,2653.24951171875,59.0,0.19830114055606823,286.0,0.33613690625348314,278.0,0.12241552931177534,31.0,184.0,217.0,-3.0,52.5,-1.0,226.5,0.0005475817905566378,95.0,155.625,100.0
TF:Ef_skew,8,14.198275566101074,134.0,0.20498153052778648,218.0,0.32740722553976465,309.0,0.12453422518382183,29.0,317.0,84.0,-4.0,152.5,-1.0,226.5,0.0004806385742635044,106.0,157.375,100.0
FREQ:spec_entropy_renyi,8,5.484673023223877,164.0,0.19925661415891632,262.0,0.33974561239359113,258.0,0.10536256495453152,66.0,105.0,296.0,-3.0,52.5,-1.0,226.5,0.0009447230186056197,51.0,172.0,100.0
SPAT:st_burstiness,8,0.024135399609804153,467.0,0.16746424493467207,437.0,0.35131558252223316,190.0,0.1748959568174867,14.0,387.0,14.0,-3.0,52.5,-1.0,226.5,0.0028975188062815116,22.0,177.875,100.0
TF:tfband_1,8,81.05062103271484,89.0,0.1927008861247017,335.0,0.332887436715783,285.0,0.1019030220693656,71.0,75.0,326.0,-3.0,52.5,-1.0,226.5,0.0010697113115150226,42.0,178.375,100.0
TF:Ef_entropy,8,2.1287293434143066,209.0,0.20419003843979924,219.0,0.35539295685925865,157.0,0.0742304287443442,185.0,59.0,342.0,-3.0,52.5,-1.0,226.5,0.0010065522835649367,48.0,179.875,100.0
TF:Ef_range,8,89.36954498291016,86.5,0.1926074260798127,337.5,0.3419621372924624,245.0,0.09200557535431049,97.5,22.0,379.0,-3.0,52.5,-1.0,226.5,0.0010789168479942645,41.0,183.1875,100.0
TF:Ef_max,8,89.36954498291016,86.5,0.1926074260798127,337.5,0.34196256132104796,244.0,0.09200557535431049,97.5,24.0,377.0,-3.0,52.5,-1.0,226.5,0.001020513641220406,47.0,183.5625,100.0
TF:Ef_rolloff85,8,365084.6875,24.0,0.2081529440966444,204.0,0.40557532114286454,22.0,0.05857911585365827,475.0,49.0,352.0,-4.0,152.5,-1.0,226.5,0.000910715211757965,53.0,188.625,100.0
TF:DWT_L0_zcr,8,0.011668757535517216,493.0,0.19423886852819278,327.0,0.2932787008296107,390.0,0.16443476596190537,15.0,384.0,17.0,-3.0,52.5,-1.0,226.5,0.0015050959053820492,33.0,194.25,100.0
TF:das_tonal_ratio,8,7.534224033355713,154.0,0.19891335874205615,277.0,0.3141229386942581,336.0,0.10562974095816939,65.0,235.0,166.0,-4.0,152.5,-1.0,226.5,0.00027004395101796596,201.0,197.25,100.0
TF:WPT_aaaa_zcr,8,0.020499112084507942,474.0,0.2159116231370872,154.0,0.3576946335449769,137.0,0.0987393280029837,78.0,287.0,114.0,-7.0,452.5,-1.0,226.5,0.002556983123398438,23.0,207.375,100.0
