k,accuracy,balanced_accuracy,f1_macro,train_seconds
10,0.6665374176037224,0.6524584668636152,0.6442269748327824,18.438114702003077
20,0.7049243892981776,0.710329178736099,0.7068979655891208,24.37945436500013
40,0.7190383869716944,0.7281496319205284,0.7255389005623363,40.476289938000264
80,0.7457929430011633,0.7470988018366347,0.7475713084299979,44.85875258399756
120,0.7485847227607599,0.7465750864401023,0.7489176140439057,61.93347402999643
160,0.7505234587049244,0.7518752566984763,0.7533185164263823,79.39212114497786
200,0.824350523458705,0.8066107857354609,0.8069926056871212,103.65172080200864
271,0.8238076773943389,0.8052618061162827,0.8064042960740369,140.85405583199463
400,0.8800310197751067,0.8514014646618934,0.8503634979578927,225.21941869700095
600,0.8968592477704537,0.8661456434024097,0.8652976154769438,354.33894369899645
800,0.895153160139589,0.8649774795521745,0.8639004036367898,482.37641148798866
1002,0.8994183792167507,0.868151650855763,0.8681828547199416,584.15201143999
