feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
SPAT:st_grad_t_energy,8,62152700.0,12.0,0.2636791591617531,1.0,0.7748913433229081,1.0,0.28178892830141583,1.0,400.0,1.0,-3.0,52.5,-1.0,59.0,0.004571473089171814,3.0,16.3125,100.0
SPAT:st_grad_c_energy,8,2731586816.0,11.0,0.2522098807547364,4.0,0.646571738399746,6.0,0.23985860529306402,5.0,391.0,10.0,-3.0,52.5,-1.0,59.0,0.005576186794116102,1.0,18.5625,100.0
SPAT:st_t_skew,8,5.882787227630615,165.0,0.24632435527670626,7.0,0.5177699750086648,12.0,0.26056392721868293,2.0,390.0,11.0,-3.0,52.5,-1.0,59.0,0.002520490972367591,18.0,40.8125,100.0
SPAT:st_vel_std,8,0.2652328610420227,304.0,0.22846025409046897,10.0,0.4743168126311774,15.0,0.20162501077093423,10.0,385.0,16.0,-3.0,52.5,-1.0,59.0,0.003115261637596538,14.0,60.0625,100.0
SPAT:st_traj_range,8,9.455780029296875,146.0,0.21062605745949917,202.0,0.3524688702157164,319.0,0.18232377543852216,16.0,381.0,20.0,-3.0,52.5,-1.0,59.0,0.0010804441525082754,39.0,106.6875,100.0
TF:tfband_1,8,74.1196517944336,89.0,0.21615149082159305,171.0,0.4122012607846708,136.0,0.18681256151950665,14.0,344.0,57.0,-6.0,352.5,-1.0,59.0,0.0007816641772100324,62.0,117.5625,100.0
TF:DWT_L0_tk_mean,8,500.9629821777344,73.0,0.217410108250017,150.0,0.45582950002828904,27.0,0.1554603547810958,139.0,262.0,139.0,-6.0,352.5,-1.0,59.0,0.001336251511401297,28.0,120.9375,100.0
TF:tfband_2,8,40.529449462890625,103.0,0.20685436687991374,214.0,0.46693364384901814,16.0,0.10066851279861998,425.0,231.0,170.0,-3.0,52.5,-1.0,59.0,0.003635730621135815,9.0,131.0625,100.0
SPAT:st_traj_var,8,14.161697387695312,133.0,0.1770314821102827,391.0,0.5322768511624458,11.0,0.10918692226818008,351.0,333.0,68.0,-3.0,52.5,-1.0,59.0,0.00278630686551176,15.0,135.0625,100.0
SPAT:st_entropy,8,0.040357060730457306,443.0,0.20179055690476946,235.0,0.678838613017239,5.0,0.13416893424431173,272.0,383.0,18.0,-3.0,52.5,-1.0,59.0,0.004643520461727116,2.0,135.8125,100.0
TF:WPT_aaaa_zcr,8,0.01832161471247673,476.0,0.22445868013197798,28.0,0.3519707879189533,323.0,0.1918519249778694,12.0,370.0,31.0,-5.0,252.5,-1.0,59.0,0.0027265581618530275,16.0,149.6875,100.0
TF:DWT_L0_zcr,8,0.012019142508506775,495.0,0.1957982738732832,255.0,0.28614641371386096,468.0,0.18821860513278948,13.0,388.0,13.0,-3.0,52.5,-1.0,59.0,0.0006562211687138403,83.0,179.8125,100.0
TF:DWT_L0_iqr,8,6.701828956604004,158.0,0.18337023603365776,371.0,0.30261150920908264,430.0,0.1693009556367618,56.0,181.0,220.0,-3.0,52.5,-1.0,59.0,0.00045624388951234963,143.0,186.1875,100.0
SPAT:st_burstiness,8,0.02701781690120697,463.0,0.15755941460596745,475.0,0.4114164375007885,139.0,0.124984890389701,296.0,397.0,4.0,-3.0,52.5,-1.0,59.0,0.0031830704394062988,13.0,187.6875,100.0
TF:Et_std,8,0.22245875000953674,315.0,0.20700046656738463,213.0,0.3844968506630755,224.0,0.12441222182608105,297.0,348.0,53.0,-6.0,352.5,-1.0,59.0,0.001286258510499443,30.0,192.9375,100.0
TF:tf_burstiness,8,0.26747214794158936,303.0,0.21070849534661049,199.0,0.33055330029342533,370.0,0.13609167555989204,267.0,358.0,43.0,-6.0,352.5,-1.0,59.0,0.0011635031324945362,35.0,203.5625,100.0
TF:DWT_L0_mad,8,1.6299078464508057,215.0,0.18464190391374402,359.0,0.312604632456829,405.0,0.1693396292564859,55.0,171.0,230.0,-5.0,252.5,-1.0,59.0,0.0002901642189458621,265.0,230.0625,100.0
