true,predicted,pct_of_true,n
regular,fence,45.364536453645364,504
car,fence,41.478555304740404,735
openclose,walk,40.909090909090914,81
openclose,longboard,13.636363636363635,27
openclose,car,12.121212121212121,24
openclose,fence,12.121212121212121,24
walk,car,9.452137266706803,157
running,manipulation,9.14962325080732,85
fence,regular,8.97629853756934,178
fence,car,5.849722642460918,116
running,openclose,4.951560818083961,46
car,construction,4.17607223476298,74
regular,car,3.7803780378037803,42
running,car,3.767491926803014,35
fence,walk,3.479576399394856,69
construction,car,3.315412186379928,74
car,walk,3.1038374717832955,55
running,longboard,3.013993541442411,28
longboard,car,2.9259896729776247,17
car,regular,2.708803611738149,48
walk,fence,2.408187838651415,40
walk,running,1.8061408789885613,30
manipulation,openclose,0.8073817762399077,7
construction,fence,0.7616487455197133,17
fence,openclose,0.5042864346949066,10
manipulation,car,0.461361014994233,4
fence,construction,0.4034291477559254,8
regular,walk,0.36003600360036003,4
car,longboard,0.33860045146726864,6
fence,longboard,0.30257186081694404,6
manipulation,longboard,0.2306805074971165,2
manipulation,running,0.2306805074971165,2
walk,longboard,0.1806140878988561,3
walk,manipulation,0.1806140878988561,3
walk,openclose,0.1806140878988561,3
longboard,construction,0.17211703958691912,1
construction,walk,0.13440860215053765,3
regular,longboard,0.09000900090009001,1
construction,longboard,0.08960573476702509,2
walk,construction,0.060204695966285374,1
car,openclose,0.0564334085778781,1
construction,manipulation,0.044802867383512544,1
