feature,importance,domain
SPAT:st_grad_t_energy,15695.0,SPAT
SPAT:st_grad_c_energy,14662.0,SPAT
SPAT:st_entropy,13964.0,SPAT
SPAT:st_burstiness,12504.0,SPAT
SPAT:st_t_skew,11590.0,SPAT
SPAT:st_vel_std,10207.0,SPAT
FREQ:bandP_1,9790.0,FREQ
SPAT:st_traj_var,9483.0,SPAT
TF:tfband_2,8334.0,TF
TF:DWT_L0_zcr,8226.0,TF
SPAT:st_traj_range,7481.0,SPAT
FREQ:spec_entropy_renyi,6285.0,FREQ
FREQ:bandP_4,6023.0,FREQ
TF:Et_min,5821.0,TF
TF:WPT_aada_tk_mean,5744.0,TF
TF:tfband_0,5623.0,TF
TF:novelty,5564.0,TF
TF:flux_max,5397.0,TF
TF:DWT_L0_tk_mean,5148.0,TF
TF:DWT_L0_tk_std,5083.0,TF
TIME:burst_count,5076.0,TIME
TF:DWT_L0_mad,5072.0,TF
TIME:peak_rate,5000.0,TIME
TF:DWT_L1_iqr,4983.0,TF
TF:tfband_1,4803.0,TF
TF:DWT_L1_mad,4725.0,TF
TF:WPT_aaaa_zcr,4724.0,TF
TF:glcm_30_contrast_d2_a2,4534.0,TF
TF:WPT_aaaa_iqr,4446.0,TF
FREQ:bandP_5,4392.0,FREQ
TF:DWT_L3_tk_mean,4224.0,TF
TF:Et_p25,4171.0,TF
TF:glcm_10_contrast_d1_a2,4131.0,TF
TF:Ef_kurt,4058.0,TF
TF:das_tonal_ratio,3774.0,TF
TIME:energy_gini,3721.0,TIME
TF:WPT_aaaa_abs_mean,3656.0,TF
TF:tf_burstiness,3460.0,TF
TF:Et_max,3458.0,TF
TF:Ef_rolloff85,3167.0,TF
TF:Et_range,2981.0,TF
TF:stft_entropy,2941.0,TF
TF:Ef_skew,2933.0,TF
TF:glcm_34_entropy_d2_a2,2690.0,TF
TF:glcm_54_entropy_d3_a2,2615.0,TF
TF:Ef_max,2502.0,TF
TF:tf_ridge_density,2434.0,TF
TF:Ef_entropy,2213.0,TF
FREQ:bandP_rel_1,1792.0,FREQ
TF:WPT_aaad_tk_mean,893.0,TF
FREQ:bandP_rel_5,788.0,FREQ
TF:Ef_range,519.0,TF
