class,precision,recall,f1-score,support
car,0.6452344931921331,0.4813769751693002,0.5513897866839044,1772.0
construction,0.9621451104100947,0.9565412186379928,0.9593349809031678,2232.0
fence,0.5473251028806584,0.8048411497730711,0.6515615431720759,1983.0
longboard,0.8824451410658307,0.9690189328743546,0.9237079573420837,581.0
manipulation,0.9054197662061636,0.9826989619377162,0.9424778761061947,867.0
openclose,0.3853211009174312,0.21212121212121213,0.2736156351791531,198.0
regular,0.712468193384224,0.504050405040504,0.5904059040590406,1111.0
running,0.9582790091264668,0.7911733046286329,0.8667452830188679,929.0
walk,0.8704156479217604,0.8573148705599036,0.8638155899302397,1661.0
accuracy,0.7728957120169402,0.7728957120169402,0.7728957120169402,0.7728957120169402
macro avg,0.7632281739005291,0.7287930034158543,0.7358949507105252,11334.0
weighted avg,0.7832853346702122,0.7728957120169402,0.7688608151811823,11334.0
