true,predicted,pct_of_true,n
openclose,car,77.77777777777779,154
regular,fence,18.181818181818183,202
openclose,walk,12.121212121212121,24
walk,car,6.742925948223961,112
longboard,car,6.368330464716007,37
car,fence,5.474040632054176,97
openclose,fence,5.05050505050505,10
running,longboard,4.628632938643703,43
fence,walk,3.3787191124558746,67
car,regular,2.765237020316027,49
car,walk,2.4830699774266365,44
regular,car,2.43024302430243,27
walk,fence,2.167369054786273,36
running,openclose,2.045209903121636,19
openclose,regular,2.0202020202020203,4
walk,running,1.3847080072245637,23
car,longboard,1.1851015801354403,21
running,manipulation,1.1840688912809472,11
fence,regular,1.059001512859304,21
fence,car,0.7564296520423601,15
regular,walk,0.6300630063006301,7
car,construction,0.5643340857787811,10
openclose,longboard,0.5050505050505051,1
regular,construction,0.36003600360036003,4
walk,openclose,0.1806140878988561,3
longboard,construction,0.17211703958691912,1
construction,car,0.13440860215053765,3
walk,longboard,0.12040939193257075,2
manipulation,openclose,0.11534025374855825,1
walk,manipulation,0.060204695966285374,1
car,openclose,0.0564334085778781,1
fence,openclose,0.05042864346949068,1
fence,running,0.05042864346949068,1
construction,walk,0.044802867383512544,1
