feature,importance,domain
SPAT:sp_gini,11540.0,SPAT
SPAT:sp_grad_max,8373.0,SPAT
SPAT:sp_skew,8034.0,SPAT
SPAT:st_entropy,7379.0,SPAT
SPAT:st_edge_density_t,7151.0,SPAT
SPAT:sp_argmax,6780.0,SPAT
SPAT:st_edge_density_c,5846.0,SPAT
SPAT:st_t_centroid,5628.0,SPAT
SPAT:st_grad_c_energy,5438.0,SPAT
SPAT:sp_kurt,5363.0,SPAT
SPAT:sp_grad_mean_abs,5052.0,SPAT
SPAT:st_grad_c_mean,4913.0,SPAT
SPAT:st_grad_corr,4319.0,SPAT
SPAT:st_anisotropy,4138.0,SPAT
SPAT:st_t_entropy,4138.0,SPAT
SPAT:st_skew,4013.0,SPAT
SPAT:st_active_dur_frac,3858.0,SPAT
SPAT:sp_grad_std,3778.0,SPAT
SPAT:sp_grad_energy,3525.0,SPAT
SPAT:st_t_spread,3398.0,SPAT
SPAT:sp_edge_density,3351.0,SPAT
SPAT:st_grad_t_mean,3276.0,SPAT
SPAT:st_grad_t_energy,3036.0,SPAT
SPAT:st_vel_std,2970.0,SPAT
SPAT:st_traj_var,2752.0,SPAT
SPAT:sp_q50,2458.0,SPAT
SPAT:sp_q25,2426.0,SPAT
SPAT:st_t_skew,2305.0,SPAT
SPAT:st_kurt,2303.0,SPAT
FREQ:peak1_freq,2238.0,FREQ
SPAT:st_burstiness,2217.0,SPAT
TF:tfband_2,2210.0,TF
SPAT:sp_q75,2138.0,SPAT
SPAT:st_mean,2101.0,SPAT
SPAT:st_hist_contrast,1789.0,SPAT
SPAT:st_linearity_r2,1701.0,SPAT
SPAT:st_t_max,1609.0,SPAT
SPAT:st_direction,1579.0,SPAT
FREQ:bandP_1,1476.0,FREQ
TF:DWT_L0_zcr,1283.0,TF
FREQ:ratio_mid_high,1248.0,FREQ
SPAT:st_traj_range,1213.0,SPAT
SPAT:st_hist_entropy,1198.0,SPAT
SPAT:st_hist_energy,1151.0,SPAT
SPAT:st_vel_mean,1138.0,SPAT
SPAT:sp_tv_norm,947.0,SPAT
TF:Ef_harmonic_ratio,840.0,TF
TIME:autocorr_first_zero,839.0,TIME
FREQ:bandP_2,796.0,FREQ
FREQ:peak2_freq,754.0,FREQ
TF:mod0_spread,693.0,TF
FREQ:peak_ratio,641.0,FREQ
TF:DWT_L1_zcr,596.0,TF
TF:mod1_centroid,589.0,TF
TF:tfband_3,587.0,TF
TF:das_cyclostationary_index,568.0,TF
TF:Ef_peak_freq,553.0,TF
TF:mod3_centroid,542.0,TF
TF:mod4_centroid,522.0,TF
TIME:seg_energy_0,521.0,TIME
TF:DWT_L2_kurt,504.0,TF
TIME:higuchi_fd,502.0,TIME
TF:Ef_kurt,484.0,TF
TF:mod1_spread,482.0,TF
TF:mod6_centroid,481.0,TF
TF:mod5_centroid,479.0,TF
TF:hog_b8,477.0,TF
TF:mod2_centroid,474.0,TF
TF:flux_mean,470.0,TF
TF:Ef_peak_amp,466.0,TF
FREQ:peak2_amp,463.0,FREQ
TF:DWT_L2_entropy,456.0,TF
TF:mod0_centroid,446.0,TF
FREQ:hist_b31,444.0,FREQ
TF:Et_centroid,443.0,TF
TF:DWT_L2_zcr,435.0,TF
TF:hog_b7,435.0,TF
TF:tf_freq_time_var_ratio,426.0,TF
TF:DWT_L0_mad,425.0,TF
TF:DWT_L2_mean,418.0,TF
TF:DWT_L1_skew,415.0,TF
TF:WPT_dada_skew,413.0,TF
TF:DWT_L3_zcr,411.0,TF
TF:DWT_L3_kurt,397.0,TF
TF:DWT_L0_iqr,395.0,TF
TF:mod6_spread,394.0,TF
TF:mod4_spread,388.0,TF
TF:mod7_centroid,387.0,TF
TIME:seg_energy_1,385.0,TIME
TF:DWT_L6_median,383.0,TF
TF:WPT_dada_median,382.0,TF
TF:WPT_adda_median,381.0,TF
TF:hog_b6,374.0,TF
TF:hog_b13,369.0,TF
TF:mod1_entropy,367.0,TF
TF:DWT_L2_median,366.0,TF
TF:mod8_centroid,363.0,TF
TF:coherence_mean,363.0,TF
TF:DWT_L6_zcr,363.0,TF
TF:hog_b9,361.0,TF
TF:WPT_ddaa_median,360.0,TF
TIME:ssc_rate,358.0,TIME
TF:DWT_L1_entropy,353.0,TF
TF:DWT_L3_entropy,352.0,TF
TF:tfband_0,349.0,TF
TF:Ef_p25,347.0,TF
TF:hog_b1,345.0,TF
TF:tf_perimeter,343.0,TF
TF:WPT_daad_zcr,343.0,TF
TF:mod0_entropy,342.0,TF
TF:DWT_L4_entropy,341.0,TF
TIME:seg_energy_9,341.0,TIME
TF:mod7_spread,340.0,TF
TF:Et_iqr,339.0,TF
TF:lbp_b8,339.0,TF
TF:DWT_L5_zcr,338.0,TF
TF:divergence_mean,337.0,TF
TF:DWT_L5_median,335.0,TF
TF:DWT_L3_skew,333.0,TF
TF:WPT_ddad_zcr,332.0,TF
TF:WPT_dada_entropy,330.0,TF
TF:mod8_spread,330.0,TF
TF:hog_b4,328.0,TF
TF:WPT_addd_skew,326.0,TF
