class,precision,recall,f1-score,support
car,0.8166491043203372,0.8747178329571106,0.8446866485013624,1772.0
construction,0.9933125278644672,0.9982078853046595,0.9957541899441341,2232.0
fence,0.844804318488529,0.9470499243570348,0.8930099857346647,1983.0
longboard,0.8901639344262295,0.9345955249569707,0.9118387909319899,581.0
manipulation,0.9863325740318907,0.9988465974625144,0.9925501432664756,867.0
openclose,0.16666666666666666,0.025252525252525252,0.043859649122807015,198.0
regular,0.9216931216931217,0.783978397839784,0.8472762645914397,1111.0
running,0.9727272727272728,0.9214208826695371,0.9463792150359315,929.0
walk,0.9121081745543946,0.893437688139675,0.902676399026764,1661.0
accuracy,0.9070937003705665,0.9070937003705665,0.9070937003705665,0.9070937003705665
macro avg,0.8338286327525455,0.81972302877109,0.8197812540172855,11334.0
weighted avg,0.898838424095528,0.9070937003705665,0.9007416743068927,11334.0
