feature,importance,domain
SPAT:st_grad_c_energy,0.19323433767878204,SPAT
SPAT:st_entropy,0.1814560953449842,SPAT
TF:tfband_2,0.12364333197666526,TF
SPAT:st_t_skew,0.04312169312169308,SPAT
TF:tf_ridge_density,0.032186948853615505,TF
TF:Et_p25,0.032186948853615505,TF
SPAT:st_grad_t_energy,0.02865748993199968,SPAT
TF:WPT_aaaa_iqr,0.02729410507188283,TF
SPAT:st_traj_var,0.024603174603174516,SPAT
TF:stft_max,0.021457965902410336,TF
TF:DWT_L0_zcr,0.01976151420595862,TF
TF:glcm_30_contrast_d2_a2,0.019360269360269317,TF
SPAT:st_traj_range,0.01772486772486766,SPAT
TF:DWT_L0_tk_std,0.015034348367681657,TF
TF:tfband_1,0.010861258083480227,TF
TF:tf_burstiness,0.01084923307145528,TF
TF:Et_range,0.01084923307145528,TF
FREQ:mag_max,0.005910961466517002,FREQ
TF:DWT_L0_tk_mean,0.00579071134626689,TF
TF:DWT_L0_mad,0.0016674683341349656,TF
TF:WPT_addd_min,0.0004863449307893619,TF
TF:Et_entropy,0.0,TF
FREQ:peak1_amp,0.0,FREQ
TF:stft_range,0.0,TF
FREQ:mag_range,0.0,FREQ
TIME:energy_gini,-0.00017636684303353375,TIME
TF:WPT_aaaa_mad,-0.000635989524878496,TF
TF:Et_std,-0.0049382716049382784,TF
TF:DWT_L0_iqr,-0.02016460905349793,TF
SPAT:st_burstiness,-0.0318048206937096,SPAT
TF:WPT_aaaa_zcr,-0.03477483164983175,TF
TF:flux_std,-0.03885430715496082,TF
SPAT:st_vel_std,-0.10675281508614842,SPAT
