class,precision,recall,f1-score,support
car,0.4,0.6666666666666666,0.5,3.0
construction,1.0,1.0,1.0,6.0
fence,1.0,0.5,0.6666666666666666,6.0
longboard,1.0,1.0,1.0,4.0
manipulation,0.3333333333333333,1.0,0.5,1.0
openclose,0.0,0.0,0.0,2.0
regular,0.0,0.0,0.0,0.0
running,1.0,0.6,0.75,5.0
walk,0.625,0.625,0.625,8.0
accuracy,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6857142857142857
macro avg,0.5953703703703703,0.5990740740740741,0.5601851851851851,35.0
weighted avg,0.7866666666666666,0.6857142857142857,0.7071428571428572,35.0
