class,precision,recall,f1-score,support
car,0.511324639670556,0.4204288939051919,0.46144317126045215,1772.0
construction,0.920939147101102,0.8611111111111112,0.8900208381569807,2232.0
fence,0.5725646123260437,0.4357034795763994,0.4948453608247423,1983.0
longboard,0.8099547511312217,0.9242685025817556,0.8633440514469454,581.0
manipulation,0.9157608695652174,0.7773933102652826,0.8409232688708671,867.0
openclose,0.18446601941747573,0.1919191919191919,0.18811881188118812,198.0
regular,0.38745019920318724,0.7002700270027002,0.4988778454632895,1111.0
running,0.9146005509641874,0.7147470398277718,0.802416918429003,929.0
walk,0.7229660144181257,0.8452739313666466,0.7793505412156536,1661.0
accuracy,0.6728427739544732,0.6728427739544732,0.6728427739544732,0.6728427739544732
macro avg,0.6600029781996796,0.6523461652840057,0.6465934230610135,11334.0
weighted avg,0.6951684624441813,0.6728427739544732,0.6747496829009192,11334.0
